"strain","num_nodes","mean_diameter","sd_diameter","n","se_diameter","ci_lower","ci_upper"
"Petite",440,15.1233333333333,0.723325344550514,300,0.0417612082387918,15.0411502126242,15.2055164540425
"Petite",445,15.14,0.7225928786166,300,0.0417189192983801,15.0579001009514,15.2220998990486
"Petite",450,15.1566666666667,0.716822855086343,300,0.0413857868345376,15.0752223488774,15.238110984456
"Petite",455,15.18,0.708949007794054,300,0.0409311900491615,15.0994502967121,15.2605497032879
"Petite",460,15.22,0.707059481492111,300,0.0408220981972547,15.1396649818041,15.3003350181959
"Petite",465,15.2566666666667,0.715889106588441,300,0.0413318768398757,15.1753284399553,15.338004893378
"Petite",470,15.2833333333333,0.710449164689199,300,0.0410178016478854,15.2026131845106,15.3640534821561
"Petite",475,15.32,0.729869186978279,300,0.0421390171575123,15.2370733779105,15.4029266220895
"Petite",480,15.3633333333333,0.720916980795677,300,0.0416221612925756,15.281423847235,15.4452428194316
"Petite",485,15.3933333333333,0.725979137382937,300,0.0419144250394091,15.3108486927365,15.4758179739302
"Petite",490,15.42,0.724811127514308,300,0.0418469899582022,15.3376480669002,15.5023519330998
"Petite",495,15.4466666666667,0.722654588585423,300,0.0417224821250912,15.3645597562256,15.5287735771077
"Petite",500,15.4666666666667,0.709860475872719,300,0.040983813683219,15.386013403768,15.5473199295653
"Petite",505,15.4833333333333,0.705725904581147,300,0.0407451040984017,15.4031498341089,15.5635168325577
"Petite",510,15.53,0.700525364246847,300,0.0404448507622078,15.4504073782241,15.6095926217759
"Petite",515,15.5466666666667,0.709106241047511,300,0.0409402679152824,15.4660990987767,15.6272342345566
"Petite",520,15.57,0.707177724796363,300,0.0408289249776087,15.4896515471805,15.6503484528195
"Petite",525,15.6033333333333,0.712517480080517,300,0.04113721589268,15.5223781856754,15.6842884809913
"Petite",530,15.6166666666667,0.710449164689199,300,0.0410178016478854,15.5359465178439,15.6973868154894
"Petite",535,15.6533333333333,0.708162317869562,300,0.0408857704851941,15.5728730125529,15.7337936541138
"Petite",540,15.6733333333333,0.717638888394441,300,0.0414329005395474,15.5917962990861,15.7548703675806
"Petite",545,15.7066666666667,0.727359881268196,300,0.0419941423247927,15.6240251480587,15.7893081852746
"Petite",550,15.7333333333333,0.742108238521282,300,0.0428456391278101,15.6490161289036,15.817650537763
"Petite",555,15.7533333333333,0.749016449102182,300,0.0432444848516602,15.6682312285703,15.8384354380964
"Petite",560,15.77,0.747638422435833,300,0.0431649244449835,15.6850544645217,15.8549455354783
"Petite",565,15.7966666666667,0.732879661027225,300,0.042312826957767,15.7133979991144,15.8799353342189
"Petite",570,15.8133333333333,0.721264837241049,300,0.0416422447938131,15.7313843243171,15.8952823423496
"Petite",575,15.8366666666667,0.715328272436307,300,0.0412994970650052,15.755392161075,15.9179411722584
"Petite",580,15.8766666666667,0.732514491659055,300,0.0422917438944657,15.7934394891002,15.9598938442331
"Petite",585,15.9,0.733799385705343,300,0.0423659272868162,15.8166268347348,15.9833731652652
"Petite",590,15.9233333333333,0.734338522600309,300,0.0423970543699601,15.8398989121577,16.006767754509
"Petite",595,15.95,0.741168741703891,300,0.0427913972537678,15.8657895397635,16.0342104602365
"Petite",600,15.97,0.746743207575536,300,0.0431132391909261,15.8851561774667,16.0548438225333
"Petite",605,15.9866666666667,0.744986962393309,300,0.0430118423280538,15.9020223860281,16.0713109473052
"Petite",610,16.0166666666667,0.747161107990238,300,0.0431373666826183,15.9317753629266,16.1015579704068
"Petite",615,16.0333333333333,0.748837821225139,300,0.0432341717663707,15.9482515239968,16.1184151426699
"Petite",620,16.0566666666667,0.745188954212615,300,0.0430235043311789,15.9719994360262,16.1413338973072
"Petite",625,16.08,0.736256462515147,300,0.0425077866825722,15.996347665421,16.1636523345789
"Petite",630,16.0966666666667,0.727382871460785,300,0.0419954696641807,16.0140225359482,16.1793107973852
"Petite",635,16.1133333333333,0.727267913230241,300,0.0419888325476457,16.0307022639934,16.1959644026733
"Petite",640,16.1466666666667,0.730479905173141,300,0.0421742769889325,16.0636706557088,16.2296626776246
"Petite",645,16.1766666666667,0.721473470603624,300,0.0416542902466176,16.0946939530465,16.2586393802869
"Petite",650,16.2,0.731516955959455,300,0.0422341511439967,16.1168861609159,16.2831138390841
"Petite",655,16.2333333333333,0.726163388256184,300,0.0419250627685358,16.1508277584337,16.315838908233
"Petite",660,16.2433333333333,0.720545748820086,300,0.0416007282044717,16.161466026045,16.3252006406216
"Petite",665,16.2566666666667,0.715889106588441,300,0.0413318768398757,16.1753284399553,16.338004893378
"Petite",670,16.2866666666667,0.716146008791911,300,0.0413467090955086,16.2052992511194,16.3680340822139
"Petite",675,16.3133333333333,0.728187070920935,300,0.0420419001416607,16.2305978307007,16.396068835966
"Petite",680,16.3366666666667,0.719988541962588,300,0.0415685578515546,16.2548626683703,16.418470664963
"Petite",685,16.36,0.720274938216008,300,0.0415850929469553,16.2781634617988,16.4418365382012
"Petite",690,16.38,0.72388768322608,300,0.0417936748773632,16.2977529872296,16.4622470127704
"Petite",695,16.3966666666667,0.735612653149605,300,0.0424706163315219,16.3130874807244,16.480245852609
"Petite",700,16.4133333333333,0.737769091924353,300,0.0425951183822311,16.3295091361116,16.4971575305551
"Petite",705,16.4433333333333,0.754111731709496,300,0.0435386611301532,16.3576523103439,16.5290143563228
"Petite",710,16.4533333333333,0.741386811028796,300,0.0428039874921113,16.3690980963933,16.5375685702734
"Petite",715,16.4866666666667,0.756126961668981,300,0.043655010486112,16.4007566763277,16.5725766570057
"Petite",720,16.51,0.747280465183913,300,0.0431442577734081,16.4250951350779,16.5949048649221
"Petite",725,16.5233333333333,0.737973059361496,300,0.0426068944477052,16.4394859616429,16.6071807050237
"Petite",730,16.5433333333333,0.737066105380804,300,0.0425545314352156,16.4595890083688,16.6270776582979
"Petite",735,16.55,0.741168741703891,300,0.0427913972537678,16.4657895397635,16.6342104602365
"Petite",740,16.57,0.735006199778189,300,0.0424356027297981,16.4864897183633,16.6535102816367
"Petite",745,16.5933333333333,0.732400338892778,300,0.0422851532814319,16.5101191256298,16.6765475410369
"Petite",750,16.6166666666667,0.738154316435117,300,0.0426173593297299,16.5327987008245,16.7005346325089
