"date","strain","time_lapse_replicate","id_file","file_id","replicate","timepoint","LABEL","ID","TRACK_ID","QUALITY","POSITION_X","POSITION_Y","POSITION_Z","POSITION_T","FRAME","RADIUS","VISIBILITY","MANUAL_SPOT_COLOR","MEAN_INTENSITY_CH1","MEDIAN_INTENSITY_CH1","MIN_INTENSITY_CH1","MAX_INTENSITY_CH1","TOTAL_INTENSITY_CH1","STD_INTENSITY_CH1","CONTRAST_CH1","SNR_CH1","ELLIPSE_X0","ELLIPSE_Y0","ELLIPSE_MAJOR","ELLIPSE_MINOR","ELLIPSE_THETA","ELLIPSE_ASPECTRATIO","AREA","PERIMETER","CIRCULARITY","SOLIDITY","SHAPE_INDEX","minutes","division_id","spot_num","percentage_cell_cycle","division_number","dt_minutes","percentage_max_area","cell_id","mother_cell_id","mod_mother_cell_id","complete_cell_id","x_outward","y_outward","x_inward","y_inward","angle_to_bud_scar","num_div_parent","mother_displacement","angle_to_center"
"2023jan26","PA5-t600",3,"2023jan26_gob2350_3","2023jan26_PA5-t600_3","PA5","t600","ID3243",3243,218,2023,108.5064,88.20992,0,24600,82,3.67782,1,NA,5447.322,5421,2606,9139,10943669,1302.241,-0.9620172,-211.8934,-0.05391305,-0.0275588,4.00912,3.617244,-0.4955383,1.108336,42.4943,26.68503,0.7499031,0.9204571,4.093571,410,"2023jan26_gob2350_3_218_37",24,1,5,115,90.71863,"PA5_t600_3_2023jan26_0005","PA5_t600_3_2023jan26_0005_4","PA5_t600_3_2023jan26_0005","PA5_t600_3_2023jan26_0005_4",110.269837236336,87.25674115681,106.742962763664,89.16309884319,NA,NA,NA,NA
"2023jan26","PA5-t600",3,"2023jan26_gob2350_3","2023jan26_PA5-t600_3","PA5","t600","ID3257",3257,218,1370,96.79628,97.34627,0,24600,82,3.038694,1,NA,6885.491,6689,4449,10301,9453779,1096.88,-0.9522562,-250.4045,0.007743755,-0.02293127,3.802484,2.485672,2.530186,1.529761,29.0084,20.31188,0.8835546,0.9895608,3.771275,410,"2023jan26_gob2350_3_218_38",2,1,3,5,75.41838,"PA5_t600_3_2023jan26_0012","PA5_t600_3_2023jan26_0012_2","PA5_t600_3_2023jan26_0012","PA5_t600_3_2023jan26_0012_2",95.2394643748502,98.4376206548555,98.3530956251497,96.2549193451445,176.893350305926,1,0.44463964488111,29.3625394998553
"2023jan26","PA5-t600",3,"2023jan26_gob2350_3","2023jan26_PA5-t600_3","PA5","t600","ID3346",3346,218,1571,133.1911,97.61538,0,26400,88,3.245028,1,NA,7236.606,7240,3694,12182,11325289,1936.453,-0.9485704,-137.8525,0.00677258,-0.007945405,4.495742,2.392256,0.6216208,1.879289,33.08161,23.22028,0.7710127,0.9693878,4.037143,440,"2023jan26_gob2350_3_218_57",2,1,3,5,100,"PA5_t600_3_2023jan26_0011","PA5_t600_3_2023jan26_0011_2","PA5_t600_3_2023jan26_0011","PA5_t600_3_2023jan26_0011_2",135.018474464095,98.9244356140261,131.363725535905,96.3063243859739,72.0641398785687,1,2.13411484236439,29.022817035617
"2023jan26","PA5-t600",3,"2023jan26_gob2350_3","2023jan26_PA5-t600_3","PA5","t600","ID3375",3375,218,2446,87.64186,104.3391,0,29700,99,4.051132,1,NA,6990.593,7188,4021,10582,17057047,1135.472,-0.9527713,-248.3995,-0.005694231,0.0259471,6.374991,2.605755,-0.351797,2.446504,51.55877,30.42544,0.6999042,0.9690599,4.237265,495,"2023jan26_gob2350_3_218_70",15,1,2,95,79.06149,"PA5_t600_3_2023jan26_0019","PA5_t600_3_2023jan26_0019_1","PA5_t600_3_2023jan26_0019","PA5_t600_3_2023jan26_0019_1",84.6495826328785,105.437464111182,90.6341373671215,103.240735888818,171.557959864892,0,0,10.158702371197
"2023jan26","PA5-t600",3,"2023jan26_gob2350_3","2023jan26_PA5-t600_3","PA5","t600","ID3443",3443,218,2973,108.9008,99.56868,0,30000,100,4.46789,1,NA,6608.085,6805,3648,8756,19645837,908.2325,-0.9537035,-299.7598,-0.02309805,-0.0831731,7.603155,2.674294,1.39122,2.843051,62.7126,34.53153,0.6608959,0.9685463,4.360521,500,"2023jan26_gob2350_3_218_71",18,1,1,85,100,"PA5_t600_3_2023jan26_0035","PA5_t600_3_2023jan26_0005_5","PA5_t600_3_2023jan26_0005","PA5_t600_3_2023jan26_0035_0",109.579810132388,103.309126060114,108.221789867612,95.8282339398862,NA,NA,NA,NA
"2023jan26","PA5-t600",3,"2023jan26_gob2350_3","2023jan26_PA5-t600_3","PA5","t600","ID60804",60804,218,-1,108.3203,86.92866,0,31200,104,2.094509,1,NA,7413.102,6616,3146,15588,4870408,2908.76,0.2531807,1.029767,0,0,2.094509,2.094509,0,1,13.78207,13.16019,1,1,3.544908,520,"2023jan26_gob2350_3_218_81",4,1,1,15,100,"PA5_t600_3_2023jan26_0054","PA5_t600_3_2023jan26_0005_6","PA5_t600_3_2023jan26_0005","PA5_t600_3_2023jan26_0054_0",NA,NA,NA,NA,NA,NA,NA,NA
"2023jan26","PA5-t600",3,"2023jan26_gob2350_3","2023jan26_PA5-t600_3","PA5","t600","ID60817",60817,218,-1,108.5746,88.41772,0,30000,100,3.547254,1,NA,5565.839,5607,2686,8864,10447080,1411.579,-0.02208512,-0.1780961,0,0,3.547254,3.547254,0,1,39.53071,22.28806,1,1,3.544908,500,"2023jan26_gob2350_3_218_74",7,1,6,85,100,"PA5_t600_3_2023jan26_0005","PA5_t600_3_2023jan26_0005_5","PA5_t600_3_2023jan26_0005","PA5_t600_3_2023jan26_0005_5",NA,NA,NA,NA,NA,NA,NA,NA
"2023jan26","PA5-t600",3,"2023jan26_gob2350_3","2023jan26_PA5-t600_3","PA5","t600","ID3504",3504,218,2901,141.6383,104.5993,0,30900,103,4.421413,1,NA,6205.996,6306,3267,8385,18059447,1049.87,-0.9583704,-272.1681,0.005693731,0.01063155,6.951689,2.828475,0.6957172,2.457752,61.41466,33.07473,0.7054877,0.9712951,4.220464,515,"2023jan26_gob2350_3_218_79",18,1,2,85,97.79869,"PA5_t600_3_2023jan26_0027","PA5_t600_3_2023jan26_0027_1","PA5_t600_3_2023jan26_0027","PA5_t600_3_2023jan26_0027_1",144.306338147332,106.827094297631,138.970261852668,102.371505702369,177.70627048905,0,0,4.4165011111826
"2023jan26","PA5-t600",3,"2023jan26_gob2350_3","2023jan26_PA5-t600_3","PA5","t600","ID3505",3505,218,185,133.9775,101.9193,0,27000,90,1.113302,1,NA,7686.25,7478,5300,10809,1414270,1432.439,-0.9403051,-169.044,-0.003702426,-0.002908874,1.263936,1.015673,0.2113349,1.244432,3.893816,7.390557,0.8958411,0.9710526,3.745324,450,"2023jan26_gob2350_3_218_62",4,1,1,15,82.88405,"PA5_t600_3_2023jan26_0044","PA5_t600_3_2023jan26_0011_2","PA5_t600_3_2023jan26_0011","PA5_t600_3_2023jan26_0044_0",134.595407830761,102.051864949017,133.359592169239,101.786735050983,20.2222254492164,1,2.13411484236439,16.3119402710059
"2023jan26","PA5-t600",3,"2023jan26_gob2350_3","2023jan26_PA5-t600_3","PA5","t600","ID60903",60903,218,-1,122.3757,92.70332,0,27000,90,2.094509,1,NA,6389.909,5578,3467,13459,4198170,2363.52,0.05240523,0.2692508,0,0,2.094509,2.094509,0,1,13.78207,13.16019,1,1,3.544908,450,"2023jan26_gob2350_3_218_63",4,1,1,15,100,"PA5_t600_3_2023jan26_0045","PA5_t600_3_2023jan26_0007_3","PA5_t600_3_2023jan26_0007","PA5_t600_3_2023jan26_0045_0",NA,NA,NA,NA,NA,2,1.10352841037284,7.98867580201773
