"date","strain","time_lapse_replicate","id_file","file_id","replicate","timepoint","LABEL","ID","TRACK_ID","QUALITY","POSITION_X","POSITION_Y","POSITION_Z","POSITION_T","FRAME","RADIUS","VISIBILITY","MANUAL_SPOT_COLOR","MEAN_INTENSITY_CH1","MEDIAN_INTENSITY_CH1","MIN_INTENSITY_CH1","MAX_INTENSITY_CH1","TOTAL_INTENSITY_CH1","STD_INTENSITY_CH1","CONTRAST_CH1","SNR_CH1","ELLIPSE_X0","ELLIPSE_Y0","ELLIPSE_MAJOR","ELLIPSE_MINOR","ELLIPSE_THETA","ELLIPSE_ASPECTRATIO","AREA","PERIMETER","CIRCULARITY","SOLIDITY","SHAPE_INDEX","minutes","division_id","spot_num","percentage_cell_cycle","division_number","dt_minutes","percentage_max_area","Strain"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20512",20512,90,669,59.020673702562,40.0417793251675,0,18600,62,2.13834947095075,1,NA,12600.7739520958,12423,10030,15944,8417317,1617.80926746239,-0.956206953137485,-340.131326631356,-0.0116443034729417,-0.000391546581167822,2.39757380049675,1.94446096361992,2.57709547682297,1.23302747926257,14.3650532339269,14.1153813852089,0.906007660947266,0.977306002928258,3.72425146288082,310,"2022sep30_gob21_1_90_11",21,0.666666666666667,1,100,83.0223880597015,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20520",20520,90,653,43.5063999851213,52.2393679213171,0,18600,62,2.11984920306894,1,NA,11187.3181126332,11150,7861,15689,7350068,1807.94794086605,-0.962463758817026,-317.324545377399,-0.00776988053022082,0.00250929824600531,2.27934075193874,2.03623511445368,-0.175680165033486,1.11938976779225,14.1175654254023,13.720509010674,0.942386869566315,0.987951807228916,3.65165986976275,310,"2022sep30_gob21_1_90_9",33,1,1,175,96.0468521229869,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20522",20522,97,646,60.8916594752195,55.3000040826046,0,18600,62,2.10281551080271,1,NA,11310.9271317829,11205,9608,13344,7295548,939.894154189446,-0.960414235258678,-583.94077375412,0.0032707967277186,0.000761748684340086,2.3552117779996,1.93035256249723,0.749495711334299,1.22009410288903,13.8915982958798,13.6830710211071,0.932384227039141,0.986249045072573,3.67119516733348,310,"2022sep30_gob21_1_97_12",13,0.580645161290323,1,90,75.985874043555,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20510",20510,4,600,50.5936004725143,33.4907250177479,0,18600,62,2.02227500494114,1,NA,14091.7121212121,14662,9452,16383,8370477,2280.62930347147,-0.946940346154887,-220.545025437075,0.000922947116851044,0.01282029067925,2.20868536595383,1.87576395939286,-0.87350439570392,1.17748576780883,12.8478453642762,13.2935937333747,0.913598463685827,0.980295566502463,3.7087473731121,310,"2022sep30_gob21_1_4_10",22,0.852941176470588,1,145,97.5490196078431,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20624",20624,90,688,59.1392884098203,39.9846805666197,0,18900,63,2.17172595013148,1,NA,12614.5384615384,12458,9909,16383,8691417,1640.9474624324,-0.955993905101384,-334.001930317352,-0.00629234808379695,0.000946538008432888,2.45121438949004,1.97026549530406,-0.512441800771006,1.24410359686665,14.8169874929718,14.1205295672987,0.933829972925683,0.98851399856425,3.66835221339308,315,"2022sep30_gob21_1_90_11",22,0.7,1,105,85.634328358209,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20628",20628,90,654,43.7195489200364,52.4026428834535,0,18900,63,2.12146432650558,1,NA,11129.2633996937,11151,8104,15394,7267409,1744.88751755496,-0.962957658354982,-331.61772793236,-0.0222712912477786,0.0111632448177482,2.31854432000481,1.99162843176402,3.06067249763279,1.16414501973705,14.1390861044044,13.7664346869142,0.93753663249154,0.990950226244344,3.66109340416811,315,"2022sep30_gob21_1_90_13",1,0,2,0,100,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20629",20629,97,674,61.1174794054364,55.3070585924643,0,18900,63,2.15112538430132,1,NA,11349.5621301775,11279,9508,13275,7672304,901.450117672986,-0.960209465870273,-607.650159965954,0.00799014507890615,0.0146929170888003,2.46354721995533,1.93039445634919,0.728260555013228,1.27618850740716,14.537218665944,13.9088266893586,0.944300448158112,0.992652461425423,3.64795803851104,315,"2022sep30_gob21_1_97_12",14,0.612903225806452,1,95,79.517363154797,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20623",20623,4,586,50.7969162100472,33.5929849782965,0,18900,63,2.00099178772992,1,NA,14161.6660929431,14454,9762,16383,8227928,2158.10689758809,-0.946461611706715,-232.011281959809,0.00396223368826353,-0.00233969685405714,2.23822486345888,1.82702348155046,-0.806144497446935,1.2250662818846,12.5788368767494,13.1437887521486,0.914974958577926,0.984006734006734,3.70595659002041,315,"2022sep30_gob21_1_4_10",23,0.882352941176471,1,150,95.5065359477125,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20610",20610,90,648,43.8108801611796,52.2131509531347,0,19200,64,2.11175505666097,1,NA,11073.200617284,11057,8186,15410,7175434,1736.50390477919,-0.963297375532965,-334.726931776294,-0.017780132114644,-0.00723794695074202,2.36442108403544,1.94152322670801,2.98503043730298,1.21781756278264,14.0099620303916,14.1221947342596,0.882759562406747,0.974550898203592,3.77297316787312,320,"2022sep30_gob21_1_90_13",2,0.0476190476190476,2,5,99.0867579908675,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20611",20611,97,706,61.2307870975938,55.0082325491692,0,19200,64,2.20925314975105,1,NA,11239.4964936887,11264,9298,13330,8013761,971.828719130884,-0.960918004454263,-568.717670878578,-0.0146521111745576,-0.000636037980297726,2.51619322330109,1.98306339054083,0.76532988482857,1.26884154853712,15.3334837890231,14.4855490501417,0.918291956598577,0.986159169550172,3.69925732004997,320,"2022sep30_gob21_1_97_12",15,0.645161290322581,1,100,83.8728663919953,"Petite"
