file_num,sim_number,cluster_size,overlap_vol,not_added_nodes
1,6,290,9.237431e+01,0
1,6,295,9.412718e+01,0
1,6,300,9.555020e+01,0
1,6,305,9.684650e+01,0
1,6,310,9.767304e+01,0
1,6,315,9.908150e+01,0
1,6,320,1.045448e+02,0
1,6,325,1.096542e+02,0
1,6,330,1.138621e+02,0
1,6,335,1.160613e+02,0
1,6,340,1.168780e+02,0
1,6,345,1.220375e+02,0
1,6,350,1.261256e+02,0
1,6,355,1.278197e+02,0
1,6,360,1.337302e+02,0
1,6,365,1.377297e+02,0
1,6,370,1.387611e+02,0
1,6,375,1.394789e+02,0
1,6,380,1.440552e+02,0
1,6,385,1.485175e+02,0
1,6,390,1.501464e+02,0
1,6,395,1.519852e+02,0
1,6,400,1.536709e+02,0
1,6,405,1.541331e+02,0
1,6,410,1.549120e+02,0
1,6,415,1.629253e+02,0
1,6,420,1.676402e+02,0
1,6,425,1.719327e+02,0
1,6,430,1.756525e+02,0
1,6,435,1.782611e+02,0
1,6,440,1.841224e+02,0
1,6,445,1.878084e+02,0
1,6,450,1.904800e+02,0
1,6,455,1.915839e+02,0
1,6,460,1.957273e+02,0
1,6,465,1.972840e+02,0
1,6,470,2.021171e+02,0
1,6,475,2.039942e+02,0
1,6,480,2.091474e+02,0
1,6,485,2.139949e+02,0
1,6,490,2.162516e+02,0
1,6,495,2.218374e+02,0
1,6,500,2.278076e+02,0
1,7,5,0,0
1,7,10,1.831108e-01,0
1,7,15,8.584911e-01,0
1,7,20,9.926006e-01,0
1,7,25,2.307153e+00,0
1,7,30,2.311655e+00,0
1,7,35,3.172359e+00,0
1,7,40,3.343631e+00,0
1,7,45,3.634601e+00,0
1,7,50,4.249523e+00,0
1,7,55,4.249523e+00,0
1,7,60,4.636514e+00,0
1,7,65,5.717430e+00,0
1,7,70,5.988774e+00,0
1,7,75,6.600689e+00,0
1,7,80,7.733963e+00,0
1,7,85,8.686423e+00,0
1,7,90,9.303972e+00,0
1,7,95,1.003454e+01,0
1,7,100,1.105219e+01,0
1,7,105,1.151989e+01,0
1,7,110,1.167346e+01,0
1,7,115,1.260298e+01,0
1,7,120,1.313493e+01,0
1,7,125,1.424450e+01,0
1,7,130,1.453706e+01,0
1,7,135,1.532418e+01,0
1,7,140,1.616208e+01,0
1,7,145,1.685315e+01,0
1,7,150,1.850997e+01,0
1,7,155,1.980777e+01,0
1,7,160,2.206739e+01,0
1,7,165,2.237757e+01,0
1,7,170,2.286811e+01,0
1,7,175,2.286818e+01,0
1,7,180,2.397664e+01,0
1,7,185,2.466320e+01,0
1,7,190,2.527480e+01,0
1,7,195,2.543914e+01,0
1,7,200,2.563567e+01,0
1,7,205,2.831696e+01,0
1,7,210,2.894196e+01,0
1,7,215,2.998684e+01,0
1,7,220,3.099814e+01,0
1,7,225,3.298961e+01,0
1,7,230,3.348946e+01,0
1,7,235,3.511804e+01,0
1,7,240,3.844318e+01,0
1,7,245,4.119212e+01,0
1,7,250,4.212479e+01,0
1,7,255,4.384550e+01,0
1,7,260,4.452240e+01,0
1,7,265,4.655869e+01,0
1,7,270,5.031021e+01,0
1,7,275,5.318152e+01,0
1,7,280,5.517236e+01,0
1,7,285,5.607626e+01,0
1,7,290,5.842060e+01,0
1,7,295,5.854519e+01,0
1,7,300,5.978552e+01,0
1,7,305,6.376987e+01,0
1,7,310,6.478098e+01,0
1,7,315,6.598497e+01,0
1,7,320,6.970893e+01,0
1,7,325,7.427532e+01,0
1,7,330,7.889742e+01,0
1,7,335,8.146573e+01,0
1,7,340,8.412957e+01,0
1,7,345,8.727532e+01,0
1,7,350,8.875005e+01,0
1,7,355,9.048503e+01,0
1,7,360,9.281228e+01,0
1,7,365,9.528819e+01,0
1,7,370,9.726731e+01,0
1,7,375,9.886496e+01,0
1,7,380,1.015999e+02,0
1,7,385,1.041408e+02,0
1,7,390,1.061854e+02,0
1,7,395,1.099878e+02,0
1,7,400,1.115001e+02,0
1,7,405,1.126411e+02,0
1,7,410,1.156701e+02,0
1,7,415,1.231578e+02,0
1,7,420,1.255852e+02,0
1,7,425,1.271228e+02,0
1,7,430,1.296987e+02,0
1,7,435,1.338447e+02,0
1,7,440,1.351926e+02,0
1,7,445,1.383169e+02,0
1,7,450,1.391926e+02,0
1,7,455,1.416753e+02,0
1,7,460,1.432297e+02,0
1,7,465,1.449038e+02,0
1,7,470,1.456836e+02,0
1,7,475,1.496598e+02,0
1,7,480,1.561454e+02,0
1,7,485,1.588012e+02,0
1,7,490,1.597795e+02,0
1,7,495,1.608935e+02,0
1,7,500,1.638209e+02,0
1,8,5,1.514927e-01,0
1,8,10,5.018491e-01,0
1,8,15,1.357794e+00,0
1,8,20,1.515524e+00,0
1,8,25,2.176149e+00,0
1,8,30,2.233702e+00,0
1,8,35,2.470992e+00,0
1,8,40,4.731301e+00,0
1,8,45,5.411370e+00,0
1,8,50,7.349584e+00,0
1,8,55,7.754133e+00,0
1,8,60,8.471560e+00,0
1,8,65,8.539281e+00,0
1,8,70,8.854848e+00,0
1,8,75,1.060481e+01,0
1,8,80,1.201093e+01,0
1,8,85,1.255236e+01,0
1,8,90,1.308929e+01,0
1,8,95,1.396494e+01,0
1,8,100,1.563652e+01,0
1,8,105,1.691485e+01,0
1,8,110,1.759521e+01,0
1,8,115,1.822459e+01,0
1,8,120,1.849731e+01,0
1,8,125,2.103954e+01,0
1,8,130,2.274223e+01,0
1,8,135,2.391102e+01,0
1,8,140,2.428257e+01,0
1,8,145,2.646294e+01,0
1,8,150,2.825783e+01,0
1,8,155,3.037596e+01,0
1,8,160,3.139883e+01,0
1,8,165,3.540209e+01,0
1,8,170,3.549560e+01,0
1,8,175,3.766301e+01,0
1,8,180,3.835431e+01,0
1,8,185,4.102696e+01,0
1,8,190,4.147865e+01,0
1,8,195,4.369640e+01,0
1,8,200,4.531913e+01,0
1,8,205,4.806470e+01,0
1,8,210,4.831877e+01,0
1,8,215,4.921235e+01,0
1,8,220,4.978479e+01,0
1,8,225,5.177955e+01,0
1,8,230,5.286195e+01,0
1,8,235,5.504994e+01,0
1,8,240,5.861056e+01,0
1,8,245,6.106518e+01,0
1,8,250,6.486759e+01,0
1,8,255,6.565537e+01,0
1,8,260,6.972471e+01,0
1,8,265,7.428947e+01,0
1,8,270,8.362424e+01,0
1,8,275,8.670105e+01,0
1,8,280,8.986265e+01,0
1,8,285,9.134724e+01,0
1,8,290,9.202030e+01,0
1,8,295,9.732749e+01,0
1,8,300,1.036433e+02,0
1,8,305,1.072832e+02,0
1,8,310,1.121409e+02,0
1,8,315,1.157788e+02,0
1,8,320,1.178668e+02,0
1,8,325,1.204115e+02,0
1,8,330,1.227741e+02,0
1,8,335,1.244090e+02,0
1,8,340,1.282230e+02,0
1,8,345,1.300471e+02,0
1,8,350,1.325533e+02,0
1,8,355,1.348969e+02,0
1,8,360,1.373498e+02,0
1,8,365,1.387063e+02,0
1,8,370,1.403803e+02,0
1,8,375,1.413674e+02,0
1,8,380,1.431791e+02,0
1,8,385,1.479571e+02,0
1,8,390,1.517105e+02,0
1,8,395,1.533969e+02,0
1,8,400,1.576822e+02,0
1,8,405,1.581284e+02,0
1,8,410,1.612692e+02,0
1,8,415,1.633839e+02,0
1,8,420,1.673067e+02,0
1,8,425,1.712404e+02,0
1,8,430,1.755067e+02,0
1,8,435,1.781161e+02,0
1,8,440,1.815901e+02,0
1,8,445,1.856553e+02,0
1,8,450,1.874527e+02,0
1,8,455,1.891782e+02,0
1,8,460,1.960049e+02,0
1,8,465,1.984996e+02,0
1,8,470,1.994907e+02,0
1,8,475,2.023852e+02,0
1,8,480,2.078884e+02,0
1,8,485,2.149226e+02,0
1,8,490,2.173684e+02,0
1,8,495,2.187287e+02,0
1,8,500,2.191668e+02,0
1,9,5,3.143106e-01,0
1,9,10,4.160801e-01,0
1,9,15,9.553006e-01,0
1,9,20,1.887448e+00,0
1,9,25,3.883525e+00,0
1,9,30,3.897184e+00,0
1,9,35,4.164108e+00,0
1,9,40,6.310853e+00,0
1,9,45,8.631461e+00,0
1,9,50,1.004526e+01,0
1,9,55,1.162151e+01,0
1,9,60,1.185683e+01,0
1,9,65,1.204076e+01,0
1,9,70,1.223702e+01,0
1,9,75,1.503651e+01,0
1,9,80,1.766289e+01,0
1,9,85,1.850840e+01,0
1,9,90,2.144028e+01,0
1,9,95,2.225095e+01,0
1,9,100,2.659517e+01,0
1,9,105,2.838221e+01,0
1,9,110,2.920037e+01,0
1,9,115,2.947976e+01,0
1,9,120,3.047813e+01,0
1,9,125,3.648198e+01,0
1,9,130,3.994403e+01,0
1,9,135,4.068434e+01,0
1,9,140,4.097153e+01,0
1,9,145,4.316202e+01,0
1,9,150,4.438966e+01,0
1,9,155,4.534958e+01,0
1,9,160,4.822359e+01,0
1,9,165,5.115923e+01,0
1,9,170,5.354838e+01,0
1,9,175,5.731820e+01,0
1,9,180,5.898066e+01,0
1,9,185,6.518222e+01,0
1,9,190,6.996172e+01,0
