"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
28,1,955,"petite","second-15min",374,222,50054,50331,596,100385,38659,22813,5165597,4960509,61472,10126106,"Equal Growth Rates"
28,2,960,"petite","second-15min",20,283,5116,94971,303,100087,3970,44109,538147,9596474,48079,10134621,"Equal Growth Rates"
21,1,955,"petite","second-15min",373,237,50032,50219,610,100251,38611,22769,5164743,4949259,61380,10114002,"Equal Growth Rates"
21,2,960,"petite","second-15min",27,276,7181,93073,303,100254,5568,43217,762474,9407410,48785,10169884,"Equal Growth Rates"
21,3,960,"petite","second-15min",1,268,255,99865,269,100120,208,46521,26890,10099437,46729,10126327,"Equal Growth Rates"
26,1,955,"petite","second-15min",364,238,50096,50027,602,100123,38538,22703,5168958,4934387,61241,10103345,"Equal Growth Rates"
26,2,960,"petite","second-15min",17,269,5227,95109,286,100336,4061,44033,553912,9607687,48094,10161599,"Equal Growth Rates"
19,1,955,"petite","second-15min",381,228,50057,50339,609,100396,38451,22865,5162052,4956666,61316,10118718,"Equal Growth Rates"
19,2,960,"petite","second-15min",29,267,7549,92588,296,100137,5911,43075,801557,9346193,48986,10147750,"Equal Growth Rates"
45,1,955,"petite","second-15min",373,232,50178,50141,605,100319,38438,22695,5163822,4946956,61133,10110778,"Equal Growth Rates"
45,2,960,"petite","second-15min",12,282,2987,97190,294,100177,2298,45034,315530,9825271,47332,10140801,"Equal Growth Rates"
42,1,955,"petite","second-15min",368,228,50260,50086,596,100346,38631,22712,5183897,4939250,61343,10123147,"Equal Growth Rates"
42,2,960,"petite","second-15min",27,270,7589,92905,297,100494,5899,43159,802515,9392420,49058,10194935,"Equal Growth Rates"
42,3,960,"petite","second-15min",1,267,304,99869,268,100173,231,46464,31802,10091877,46695,10123679,"Equal Growth Rates"
27,1,955,"petite","second-15min",362,238,50021,50076,600,100097,38462,22607,5156188,4932713,61069,10088901,"Equal Growth Rates"
27,2,960,"petite","second-15min",12,264,3558,96455,276,100013,2813,44741,378694,9752161,47554,10130855,"Equal Growth Rates"
27,3,960,"petite","second-15min",1,270,382,99777,271,100159,301,46327,40574,10077269,46628,10117843,"Equal Growth Rates"
18,1,955,"petite","second-15min",375,227,50088,50037,602,100125,38679,22766,5176478,4927100,61445,10103578,"Equal Growth Rates"
18,2,960,"petite","second-15min",20,270,5971,94305,290,100276,4692,44060,634805,9533537,48752,10168342,"Equal Growth Rates"
18,3,960,"petite","second-15min",1,283,300,99779,284,100079,238,46307,32373,10099776,46545,10132149,"Equal Growth Rates"
20,1,955,"petite","second-15min",378,231,50027,50096,609,100123,38539,22540,5158313,4932045,61079,10090358,"Equal Growth Rates"
20,2,960,"petite","second-15min",21,281,5505,94688,302,100193,4248,43944,581394,9562119,48192,10143513,"Equal Growth Rates"
20,3,960,"petite","second-15min",1,270,262,99955,271,100217,204,46437,27524,10093484,46641,10121008,"Equal Growth Rates"
16,1,955,"petite","second-15min",364,229,50099,50178,593,100277,38657,22893,5172366,4948809,61550,10121175,"Equal Growth Rates"
16,2,960,"petite","second-15min",21,272,5944,94163,293,100107,4620,43878,626010,9503464,48498,10129474,"Equal Growth Rates"
29,1,955,"petite","second-15min",375,239,50174,50148,614,100322,38584,22751,5175954,4937294,61335,10113248,"Equal Growth Rates"
29,2,960,"petite","second-15min",24,275,6772,93306,299,100078,5258,43348,715742,9426249,48606,10141991,"Equal Growth Rates"
11,1,955,"petite","second-15min",358,224,50118,50143,582,100261,38435,22751,5173494,4929355,61186,10102849,"Equal Growth Rates"
11,2,960,"petite","second-15min",16,275,5081,94984,291,100065,3989,44070,538440,9594476,48059,10132916,"Equal Growth Rates"
37,1,890,"petite","second",498,322,50020,50064,820,100084,37726,41790,3689560,6361967,79516,10051527,"Normal"
37,2,850,"petite","second",10,395,2090,97950,405,100040,1361,64866,135909,9884058,66227,10019967,"Normal"
37,3,850,"petite","second",1,379,224,100070,380,100294,148,66141,14661,10089702,66289,10104363,"Normal"
30,1,890,"petite","second",515,328,50073,50079,843,100152,37731,41786,3695017,6367423,79517,10062440,"Normal"
30,2,850,"petite","second",11,390,2355,97911,401,100266,1526,64699,151527,9886495,66225,10038022,"Normal"
39,1,890,"petite","second",502,324,50074,50152,826,100226,37850,41793,3700467,6367201,79643,10067668,"Normal"
39,2,855,"petite","second",12,385,2481,97530,397,100011,1671,66295,164666,10122291,67966,10286957,"Normal"
4,1,890,"petite","second",513,320,50108,50073,833,100181,37854,41800,3689231,6347323,79654,10036554,"Normal"
4,2,850,"petite","second",10,391,1982,98284,401,100266,1256,64890,128186,9895683,66146,10023869,"Normal"
4,3,850,"petite","second",1,394,224,99931,395,100155,144,65889,14504,10083300,66033,10097804,"Normal"
3,1,890,"petite","second",524,326,50048,50075,850,100123,37715,41567,3692179,6346830,79282,10039009,"Normal"
3,2,850,"petite","second",17,400,3393,97104,417,100497,2222,64182,219286,9793656,66404,10012942,"Normal"
2,1,890,"petite","second",509,325,50093,50281,834,100374,37903,41946,3700319,6393696,79849,10094015,"Normal"
2,2,850,"petite","second",10,395,1950,98163,405,100113,1290,65017,125755,9918998,66307,10044753,"Normal"
2,3,850,"petite","second",1,384,281,100166,385,100447,194,66299,18341,10098222,66493,10116563,"Normal"
38,1,890,"petite","second",508,317,50067,50162,825,100229,37839,41713,3697687,6371794,79552,10069481,"Normal"
38,2,855,"petite","second",16,390,3150,96852,406,100002,2104,65886,208287,10049769,67990,10258056,"Normal"
5,1,890,"petite","second",497,334,50020,50008,831,100028,37782,41694,3691051,6340738,79476,10031789,"Normal"
5,2,850,"petite","second",12,402,2310,97975,414,100285,1521,64611,150893,9880309,66132,10031202,"Normal"
31,1,890,"petite","second",505,335,50153,50068,840,100221,37900,41652,3703894,6353232,79552,10057126,"Normal"
31,2,850,"petite","second",8,393,1494,98600,401,100094,951,65182,96602,9942567,66133,10039169,"Normal"
36,1,890,"petite","second",525,322,50083,50007,847,100090,37817,41694,3696796,6336952,79511,10033748,"Normal"
36,2,855,"petite","second",17,387,3367,96870,404,100237,2265,65912,224875,10045881,68177,10270756,"Normal"
36,3,850,"petite","second",2,387,502,99714,389,100216,330,66036,32211,10066401,66366,10098612,"Normal"
14,1,890,"petite","second",512,332,50114,50039,844,100153,37821,41483,3700005,6342688,79304,10042693,"Normal"
14,2,855,"petite","second",12,390,2441,97616,402,100057,1661,66338,162337,10121807,67999,10284144,"Normal"
13,1,890,"petite","second",494,331,50027,50097,825,100124,37710,41819,3692013,6366917,79529,10058930,"Normal"
13,2,850,"petite","second",9,386,1942,98272,395,100214,1276,64860,125476,9895665,66136,10021141,"Normal"
25,1,890,"petite","second",505,326,50006,50223,831,100229,37725,41843,3695985,6377688,79568,10073673,"Normal"
25,2,850,"petite","second",8,402,1289,98928,410,100217,845,65539,83501,10001934,66384,10085435,"Normal"
22,1,890,"petite","second",506,327,50040,50033,833,100073,37747,41573,3691703,6335993,79320,10027696,"Normal"
22,2,850,"petite","second",11,393,2051,98034,404,100085,1324,64824,132820,9892179,66148,10024999,"Normal"
49,1,890,"petite","second",521,326,50034,50115,847,100149,37784,41752,3692326,6364468,79536,10056794,"Normal"
49,2,850,"petite","second",8,386,1528,98512,394,100040,996,65224,98115,9946604,66220,10044719,"Normal"
49,3,850,"petite","second",1,384,226,100068,385,100294,146,66131,14788,10077615,66277,10092403,"Normal"
47,1,890,"petite","second",515,334,50018,50038,849,100056,37841,41730,3689597,6351240,79571,10040837,"Normal"
47,2,850,"petite","second",17,393,3441,96878,410,100319,2244,64107,223698,9778913,66351,10002611,"Normal"
40,1,890,"petite","second",506,335,50084,50137,841,100221,37918,41686,3696607,6363998,79604,10060605,"Normal"
40,2,855,"petite","second",15,383,2984,97037,398,100021,1973,65812,196829,10066399,67785,10263228,"Normal"
40,3,850,"petite","second",1,379,265,99868,380,100133,172,65945,17230,10066440,66117,10083670,"Normal"
23,1,890,"petite","second",510,332,50056,50092,842,100148,37760,41555,3694768,6340648,79315,10035416,"Normal"
23,2,855,"petite","second",20,384,3785,96471,404,100256,2525,65423,250599,10000958,67948,10251557,"Normal"
23,3,850,"petite","second",1,400,225,99987,401,100212,146,66220,14905,10079038,66366,10093943,"Normal"
24,1,890,"petite","second",495,330,50005,50149,825,100154,37775,41809,3690171,6360060,79584,10050231,"Normal"
24,2,850,"petite","second",13,390,2314,97902,403,100216,1556,64426,152716,9864114,65982,10016830,"Normal"
12,1,890,"petite","second",507,326,50007,50119,833,100126,37778,41726,3697647,6361146,79504,10058793,"Normal"
12,2,855,"petite","second",14,381,3058,97043,395,100101,2052,65970,203569,10079030,68022,10282599,"Normal"
12,3,850,"petite","second",1,380,312,99741,381,100053,203,65941,20254,10050832,66144,10071086,"Normal"
15,1,890,"petite","second",517,337,50009,50145,854,100154,37715,41653,3691511,6363884,79368,10055395,"Normal"
15,2,855,"petite","second",16,391,2871,97272,407,100143,1942,65950,192532,10092105,67892,10284637,"Normal"
15,3,850,"petite","second",1,382,322,99780,383,100102,214,65815,21036,10066182,66029,10087218,"Normal"
41,1,890,"petite","second",508,332,50046,50069,840,100115,37705,41597,3695114,6344864,79302,10039978,"Normal"
41,2,855,"petite","second",15,392,3212,96889,407,100101,2146,65752,213982,10057836,67898,10271818,"Normal"
41,3,850,"petite","second",2,382,551,99530,384,100081,363,65796,35857,10037078,66159,10072935,"Normal"
46,1,890,"petite","second",522,327,50124,50117,849,100241,37890,41670,3699699,6358527,79560,10058226,"Normal"
46,2,850,"petite","second",16,392,3067,97257,408,100324,2023,64231,199877,9803990,66254,10003867,"Normal"
46,3,850,"petite","second",2,378,344,99727,380,100071,219,65658,22152,10051714,65877,10073866,"Normal"
48,1,890,"petite","second",503,332,50113,50150,835,100263,37905,41526,3706606,6353171,79431,10059777,"Normal"
48,2,850,"petite","second",12,405,2361,97771,417,100132,1544,64483,152847,9866478,66027,10019325,"Normal"
33,1,890,"petite","second",498,324,50046,50099,822,100145,37756,41711,3700908,6353864,79467,10054772,"Normal"
33,2,855,"petite","second",14,382,2863,97365,396,100228,1938,65920,189753,10090985,67858,10280738,"Normal"
