"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
39,35,960,"petite","second-15min",2,443,112,99919,445,100031,89,46312,11967,10095999,46401,10107966,"Equal Growth Rates"
39,36,960,"petite","second-15min",1,439,245,99904,440,100149,194,46358,26228,10097901,46552,10124129,"Equal Growth Rates"
4,1,955,"petite","second-15min",365,229,50077,50003,594,100080,38527,22588,5172892,4922122,61115,10095014,"Equal Growth Rates"
4,2,955,"petite","second-15min",313,238,44615,55477,551,100092,33890,25224,4603605,5468951,59114,10072556,"Equal Growth Rates"
4,3,955,"petite","second-15min",257,278,37170,62928,535,100098,28218,28531,3834262,6196858,56749,10031120,"Equal Growth Rates"
4,4,955,"petite","second-15min",203,296,29818,70343,499,100161,22722,31792,3081388,6923389,54514,10004777,"Equal Growth Rates"
4,5,960,"petite","second-15min",157,336,23003,77033,493,100036,17992,35845,2436590,7778821,53837,10215411,"Equal Growth Rates"
4,6,960,"petite","second-15min",116,358,17046,82988,474,100034,13303,38532,1804824,8393100,51835,10197924,"Equal Growth Rates"
4,7,960,"petite","second-15min",96,374,14446,85846,470,100292,11230,39950,1524402,8672398,51180,10196800,"Equal Growth Rates"
4,8,960,"petite","second-15min",81,390,11534,88523,471,100057,8885,41080,1220048,8943514,49965,10163562,"Equal Growth Rates"
4,9,960,"petite","second-15min",75,395,10262,90187,470,100449,8012,41812,1087319,9111806,49824,10199125,"Equal Growth Rates"
4,10,960,"petite","second-15min",57,392,7771,92453,449,100224,6060,42961,822442,9348391,49021,10170833,"Equal Growth Rates"
4,11,960,"petite","second-15min",37,412,5121,95258,449,100379,3962,44233,543118,9635889,48195,10179007,"Equal Growth Rates"
4,12,960,"petite","second-15min",36,409,4853,95288,445,100141,3789,44285,513122,9624211,48074,10137333,"Equal Growth Rates"
4,13,960,"petite","second-15min",32,433,4779,95231,465,100010,3738,44269,508984,9629815,48007,10138799,"Equal Growth Rates"
4,14,960,"petite","second-15min",24,423,3295,96855,447,100150,2572,45029,350859,9779815,47601,10130674,"Equal Growth Rates"
4,15,960,"petite","second-15min",14,421,2165,97893,435,100058,1700,45341,229192,9885303,47041,10114495,"Equal Growth Rates"
4,16,960,"petite","second-15min",13,427,2090,98060,440,100150,1625,45606,219961,9905509,47231,10125470,"Equal Growth Rates"
4,17,960,"petite","second-15min",8,436,1598,98561,444,100159,1237,45873,169234,9970588,47110,10139822,"Equal Growth Rates"
4,18,960,"petite","second-15min",4,429,546,99524,433,100070,425,46121,58998,10060951,46546,10119949,"Equal Growth Rates"
4,19,960,"petite","second-15min",6,427,626,99385,433,100011,486,46110,66307,10047390,46596,10113697,"Equal Growth Rates"
4,20,960,"petite","second-15min",5,431,701,99423,436,100124,564,46167,75448,10047313,46731,10122761,"Equal Growth Rates"
4,21,960,"petite","second-15min",2,437,204,99882,439,100086,151,46263,22084,10080583,46414,10102667,"Equal Growth Rates"
4,22,960,"petite","second-15min",2,447,224,99844,449,100068,170,46400,23627,10083212,46570,10106839,"Equal Growth Rates"
4,23,960,"petite","second-15min",2,429,249,100092,431,100341,186,46562,26097,10131162,46748,10157259,"Equal Growth Rates"
3,1,955,"petite","second-15min",372,227,50070,50060,599,100130,38693,22672,5171437,4930014,61365,10101451,"Equal Growth Rates"
3,2,955,"petite","second-15min",312,247,44311,55760,559,100071,33543,25226,4566669,5495156,58769,10061825,"Equal Growth Rates"
3,3,955,"petite","second-15min",286,266,41363,58796,552,100159,31475,26723,4272319,5791432,58198,10063751,"Equal Growth Rates"
3,4,955,"petite","second-15min",232,275,34946,65055,507,100001,26494,29293,3610304,6394106,55787,10004410,"Equal Growth Rates"
3,5,960,"petite","second-15min",205,313,28306,71803,518,100109,21990,33339,3001130,7254982,55329,10256112,"Equal Growth Rates"
3,6,960,"petite","second-15min",164,334,24031,76077,498,100108,18725,35449,2544866,7693012,54174,10237878,"Equal Growth Rates"
3,7,960,"petite","second-15min",124,353,17800,82353,477,100153,13898,38194,1878396,8333052,52092,10211448,"Equal Growth Rates"
3,8,960,"petite","second-15min",95,370,13386,86672,465,100058,10400,40178,1415803,8750317,50578,10166120,"Equal Growth Rates"
3,9,960,"petite","second-15min",67,390,10783,89549,457,100332,8381,41437,1143851,9046179,49818,10190030,"Equal Growth Rates"
3,10,960,"petite","second-15min",65,395,10228,89816,460,100044,7992,41820,1080720,9076065,49812,10156785,"Equal Growth Rates"
3,11,960,"petite","second-15min",62,383,9228,90789,445,100017,7135,42167,971455,9172168,49302,10143623,"Equal Growth Rates"
3,12,960,"petite","second-15min",46,392,6048,94060,438,100108,4713,43764,642119,9512204,48477,10154323,"Equal Growth Rates"
3,13,960,"petite","second-15min",40,412,5697,94393,452,100090,4454,43864,601074,9539153,48318,10140227,"Equal Growth Rates"
3,14,960,"petite","second-15min",20,413,2516,97553,433,100069,1969,45413,265358,9844538,47382,10109896,"Equal Growth Rates"
3,15,960,"petite","second-15min",13,423,1426,98669,436,100095,1126,45873,151254,9974334,46999,10125588,"Equal Growth Rates"
3,16,960,"petite","second-15min",7,429,889,99179,436,100068,701,46157,94778,10017832,46858,10112610,"Equal Growth Rates"
3,17,960,"petite","second-15min",2,435,279,99983,437,100262,215,46289,29303,10096360,46504,10125663,"Equal Growth Rates"
3,18,960,"petite","second-15min",3,441,446,99688,444,100134,333,46379,46296,10077604,46712,10123900,"Equal Growth Rates"
3,19,960,"petite","second-15min",3,436,511,99602,439,100113,395,46208,53815,10052210,46603,10106025,"Equal Growth Rates"
3,20,960,"petite","second-15min",1,429,122,99905,430,100027,94,46379,12886,10095837,46473,10108723,"Equal Growth Rates"
2,1,955,"petite","second-15min",376,223,50085,50040,599,100125,38672,22707,5171058,4925330,61379,10096388,"Equal Growth Rates"
2,2,955,"petite","second-15min",317,238,46686,53416,555,100102,35380,24143,4808397,5261469,59523,10069866,"Equal Growth Rates"
2,3,955,"petite","second-15min",265,279,39889,60375,544,100264,30303,27424,4121265,5935517,57727,10056782,"Equal Growth Rates"
2,4,955,"petite","second-15min",254,271,37659,62445,525,100104,28481,28317,3879757,6146924,56798,10026681,"Equal Growth Rates"
2,5,955,"petite","second-15min",230,287,34993,65008,517,100001,26537,29490,3608442,6407932,56027,10016374,"Equal Growth Rates"
2,6,955,"petite","second-15min",214,314,30805,69347,528,100152,23366,31558,3171354,6841178,54924,10012532,"Equal Growth Rates"
2,7,960,"petite","second-15min",169,327,23635,76392,496,100027,18484,35455,2501476,7710724,53939,10212200,"Equal Growth Rates"
2,8,960,"petite","second-15min",121,350,17962,82075,471,100037,14012,38257,1902804,8309430,52269,10212234,"Equal Growth Rates"
2,9,960,"petite","second-15min",103,376,15463,84771,479,100234,12017,39414,1635765,8563193,51431,10198958,"Equal Growth Rates"
2,10,960,"petite","second-15min",88,363,13411,86795,451,100206,10432,40276,1414088,8757852,50708,10171940,"Equal Growth Rates"
2,11,960,"petite","second-15min",85,370,12317,87848,455,100165,9661,40818,1304832,8869523,50479,10174355,"Equal Growth Rates"
2,12,960,"petite","second-15min",70,387,9928,90315,457,100243,7802,41991,1051892,9120628,49793,10172520,"Equal Growth Rates"
2,13,960,"petite","second-15min",41,408,5308,94860,449,100168,4120,44129,561023,9571973,48249,10132996,"Equal Growth Rates"
2,14,960,"petite","second-15min",32,415,4444,95738,447,100182,3447,44490,470981,9669036,47937,10140017,"Equal Growth Rates"
2,15,960,"petite","second-15min",26,407,4009,95999,433,100008,3151,44547,425458,9696888,47698,10122346,"Equal Growth Rates"
2,16,960,"petite","second-15min",27,422,3983,96121,449,100104,3153,44668,424192,9705470,47821,10129662,"Equal Growth Rates"
2,17,960,"petite","second-15min",22,416,2965,97233,438,100198,2306,45255,314734,9828426,47561,10143160,"Equal Growth Rates"
2,18,960,"petite","second-15min",13,429,1939,98176,442,100115,1496,45472,204478,9928773,46968,10133251,"Equal Growth Rates"
2,19,960,"petite","second-15min",12,434,1542,98712,446,100254,1204,45958,164171,9966216,47162,10130387,"Equal Growth Rates"
2,20,960,"petite","second-15min",9,431,1143,99116,440,100259,892,45890,121703,10003565,46782,10125268,"Equal Growth Rates"
2,21,960,"petite","second-15min",7,427,881,99135,434,100016,689,46045,92635,10016599,46734,10109234,"Equal Growth Rates"
2,22,960,"petite","second-15min",3,437,388,99864,440,100252,302,46268,40365,10079702,46570,10120067,"Equal Growth Rates"
2,23,960,"petite","second-15min",2,434,334,99792,436,100126,252,46353,35498,10075853,46605,10111351,"Equal Growth Rates"
2,24,960,"petite","second-15min",2,437,230,99827,439,100057,171,46440,24500,10093541,46611,10118041,"Equal Growth Rates"
2,25,960,"petite","second-15min",2,424,221,99986,426,100207,175,46524,23499,10102009,46699,10125508,"Equal Growth Rates"
38,1,955,"petite","second-15min",376,237,50223,50124,613,100347,38547,22817,5179005,4935722,61364,10114727,"Equal Growth Rates"
38,2,955,"petite","second-15min",279,263,39300,60767,542,100067,29856,27538,4050418,5986355,57394,10036773,"Equal Growth Rates"
38,3,960,"petite","second-15min",209,291,31264,68756,500,100020,24339,31968,3306247,6949136,56307,10255383,"Equal Growth Rates"
38,4,960,"petite","second-15min",190,324,27366,72655,514,100021,21250,33571,2887713,7329247,54821,10216960,"Equal Growth Rates"
38,5,960,"petite","second-15min",173,337,23606,76734,510,100340,18413,35522,2498998,7747303,53935,10246301,"Equal Growth Rates"
38,6,960,"petite","second-15min",138,344,19399,80634,482,100033,15137,37523,2061208,8140105,52660,10201313,"Equal Growth Rates"
38,7,960,"petite","second-15min",107,359,15758,84611,466,100369,12280,39382,1664729,8548056,51662,10212785,"Equal Growth Rates"
38,8,960,"petite","second-15min",78,384,11476,88619,462,100095,9013,41280,1220700,8949843,50293,10170543,"Equal Growth Rates"
