"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
15,3,865,"petite","second",3,5,251,777,8,1028,174,555,17410,84886,729,102296,"100k"
15,4,855,"petite","second",1,7,142,882,8,1024,103,601,9508,92367,704,101875,"100k"
41,1,875,"petite","second",5,3,543,542,8,1085,366,409,37372,62953,775,100325,"100k"
41,2,855,"petite","second",2,7,222,830,9,1052,145,556,15175,85409,701,100584,"100k"
46,1,875,"petite","second",7,4,513,543,11,1056,363,428,35372,64785,791,100157,"100k"
46,2,850,"petite","second",1,6,38,979,7,1017,22,646,2447,98976,668,101423,"100k"
48,1,870,"petite","second",5,4,526,596,9,1122,352,442,35404,67201,794,102605,"100k"
48,2,850,"petite","second",3,5,249,849,8,1098,169,540,16281,85020,709,101301,"100k"
48,3,850,"petite","second",1,6,62,961,7,1023,39,638,3961,97312,677,101273,"100k"
33,1,870,"petite","second",5,4,523,572,9,1095,352,419,35159,64922,771,100081,"100k"
33,2,840,"petite","second",1,4,123,986,5,1109,82,611,7459,92621,693,100080,"100k"
9,1,855,"petite","second",6,3,568,641,9,1209,336,418,35191,64997,754,100188,"100k"
9,2,840,"petite","second",2,6,381,803,8,1184,242,508,23529,76575,750,100104,"100k"
9,3,855,"petite","second",1,6,102,900,7,1002,67,610,6710,93872,677,100582,"100k"
34,1,880,"petite","second",7,3,585,519,10,1104,431,403,41439,61185,834,102624,"100k"
34,2,865,"petite","second",3,4,272,762,7,1034,189,566,18723,83598,755,102321,"100k"
34,3,860,"petite","second",2,6,210,825,8,1035,142,582,14255,88192,724,102447,"100k"
34,4,840,"petite","second",1,7,114,977,8,1091,73,623,6759,94406,696,101165,"100k"
34,5,860,"petite","second",1,7,167,858,8,1025,122,612,11498,90960,734,102458,"100k"
34,6,840,"petite","second",1,8,107,1011,9,1118,69,635,6742,95405,704,102147,"100k"
7,1,845,"petite","second",7,5,566,691,12,1257,341,445,33301,67633,786,100934,"100k"
6,1,875,"petite","second",6,4,539,552,10,1091,382,425,37130,64675,807,101805,"100k"
6,2,860,"petite","second",2,4,229,787,6,1016,162,564,15603,84864,726,100467,"100k"
6,3,830,"petite","second",2,5,132,1053,7,1185,74,598,7619,92935,672,100554,"100k"
1,1,875,"petite","second",5,4,545,535,9,1080,375,417,37399,62799,792,100198,"100k"
1,2,890,"petite","second",5,4,540,466,9,1006,439,380,43038,57586,819,100624,"100k"
1,3,895,"petite","second",5,2,582,422,7,1004,483,349,46758,55536,832,102294,"100k"
1,4,880,"petite","second",7,3,547,506,10,1053,406,406,41264,60854,812,102118,"100k"
1,5,885,"petite","second",4,3,582,433,7,1015,488,357,46636,53415,845,100051,"100k"
1,6,880,"petite","second",6,4,702,392,10,1094,568,306,53622,46827,874,100449,"100k"
1,7,860,"petite","second",2,4,226,806,6,1032,154,562,15613,85302,716,100915,"100k"
1,8,830,"petite","second",2,6,284,942,8,1226,157,541,16283,84987,698,101270,"100k"
8,1,875,"petite","second",6,3,565,534,9,1099,411,414,38868,62395,825,101263,"100k"
8,2,865,"petite","second",4,4,245,772,8,1017,165,550,17270,84394,715,101664,"100k"
8,3,850,"petite","second",1,5,68,954,6,1022,45,642,4248,96599,687,100847,"100k"
35,1,870,"petite","second",5,3,562,553,8,1115,381,421,37388,63130,802,100518,"100k"
35,2,855,"petite","second",2,6,170,866,8,1036,118,583,11484,90588,701,102072,"100k"
32,1,880,"petite","second",7,2,509,553,9,1062,352,441,35083,67583,793,102666,"100k"
32,2,845,"petite","second",3,5,477,740,8,1217,289,472,29679,70655,761,100334,"100k"
32,3,865,"petite","second",3,5,241,781,8,1022,169,578,17023,85656,747,102679,"100k"
32,4,840,"petite","second",2,5,214,931,7,1145,134,563,13173,88461,697,101634,"100k"
32,5,835,"petite","second",1,7,25,1064,8,1089,16,643,1556,99044,659,100600,"100k"
50,1,880,"petite","second",7,3,583,515,10,1098,431,396,41124,60686,827,101810,"100k"
50,2,855,"petite","second",3,6,179,858,9,1037,110,570,11743,88461,680,100204,"100k"
50,3,835,"petite","second",2,7,117,994,9,1111,73,604,6978,93153,677,100131,"100k"
50,4,840,"petite","second",1,8,176,963,9,1139,118,591,11061,90349,709,101410,"100k"
50,5,860,"petite","second",2,6,224,823,8,1047,153,589,15197,87456,742,102653,"100k"
43,1,875,"petite","second",6,3,547,558,9,1105,391,427,37173,64674,818,101847,"100k"
43,2,860,"petite","second",2,6,157,849,8,1006,112,593,10748,90405,705,101153,"100k"
43,3,845,"petite","second",1,7,79,971,8,1050,43,597,5008,95069,640,100077,"100k"
44,1,865,"petite","second",6,3,558,594,9,1152,371,427,36297,64571,798,100868,"100k"
44,2,865,"petite","second",3,4,289,752,7,1041,203,531,20194,81005,734,101199,"100k"
44,3,860,"petite","second",4,5,348,725,9,1073,236,527,23963,77640,763,101603,"100k"
44,4,835,"petite","second",2,5,233,941,7,1174,144,577,14535,88192,721,102727,"100k"
44,5,870,"petite","second",4,4,343,667,8,1010,244,495,24717,76813,739,101530,"100k"
10,1,880,"petite","second",6,3,528,547,9,1075,380,429,37073,65097,809,102170,"100k"
10,2,840,"petite","second",3,4,217,904,7,1121,142,558,13652,86519,700,100171,"100k"
17,1,860,"petite","second",6,4,576,614,10,1190,381,419,36287,66086,800,102373,"100k"
17,2,845,"petite","second",1,4,110,965,5,1075,74,645,7168,94976,719,102144,"100k"
28,1,875,"petite","second",4,4,567,543,8,1110,387,416,38385,62841,803,101226,"100k"
28,2,875,"petite","second",3,5,437,606,8,1043,337,441,32214,69436,778,101650,"100k"
28,3,870,"petite","second",4,4,324,705,8,1029,224,500,23055,78990,724,102045,"100k"
28,4,825,"petite","second",1,6,77,1083,7,1160,39,619,4333,95766,658,100099,"100k"
28,5,865,"petite","second",3,6,279,753,9,1032,203,541,19598,83057,744,102655,"100k"
21,1,875,"petite","second",6,4,568,552,10,1120,392,420,38261,63800,812,102061,"100k"
21,2,860,"petite","second",2,4,125,875,6,1000,94,606,8571,93488,700,102059,"100k"
21,3,860,"petite","second",2,5,229,806,7,1035,153,567,15274,85913,720,101187,"100k"
26,1,865,"petite","second",4,4,555,580,8,1135,368,416,36491,63544,784,100035,"100k"
