"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
39,31,"petite","second-15min",67,4617,8952,994222,4684,1003174,3,431,539,99600,434,100139,"Equal Growth Rates"
39,32,"petite","second-15min",31,4624,4192,1007639,4655,1011831,4,440,599,99740,444,100339,"Equal Growth Rates"
39,33,"petite","second-15min",43,4648,5671,1012168,4691,1017839,2,432,296,99883,434,100179,"Equal Growth Rates"
39,34,"petite","second-15min",25,4638,3411,1001006,4663,1004417,2,443,112,99919,445,100031,"Equal Growth Rates"
39,35,"petite","second-15min",7,4634,868,1007942,4641,1008810,1,439,245,99904,440,100149,"Equal Growth Rates"
4,1,"petite","second-15min",3839,2273,514324,492568,6112,1006892,313,238,44615,55477,551,100092,"Equal Growth Rates"
4,2,"petite","second-15min",3321,2591,447880,564363,5912,1012243,257,278,37170,62928,535,100098,"Equal Growth Rates"
4,3,"petite","second-15min",2875,2800,390619,608838,5675,999457,203,296,29818,70343,499,100161,"Equal Growth Rates"
4,4,"petite","second-15min",2258,3194,303861,687660,5452,991521,157,336,23003,77033,493,100036,"Equal Growth Rates"
4,5,"petite","second-15min",1762,3622,238457,782675,5384,1021132,116,358,17046,82988,474,100034,"Equal Growth Rates"
4,6,"petite","second-15min",1355,3829,183061,821839,5184,1004900,96,374,14446,85846,470,100292,"Equal Growth Rates"
4,7,"petite","second-15min",1137,3981,155665,864406,5118,1020071,81,390,11534,88523,471,100057,"Equal Growth Rates"
4,8,"petite","second-15min",909,4088,122369,880201,4997,1002570,75,395,10262,90187,470,100449,"Equal Growth Rates"
4,9,"petite","second-15min",812,4171,108077,903907,4983,1011984,57,392,7771,92453,449,100224,"Equal Growth Rates"
4,10,"petite","second-15min",588,4315,78690,944226,4903,1022916,37,412,5121,95258,449,100379,"Equal Growth Rates"
4,11,"petite","second-15min",414,4406,55617,953835,4820,1009452,36,409,4853,95288,445,100141,"Equal Growth Rates"
