"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
4,1,"petite","second",3705,4261,365517,648471,7966,1013988,10,391,1982,98284,401,100266,"Normal"
4,2,"petite","second",114,6501,11654,986372,6615,998026,1,394,224,99931,395,100155,"Normal"
3,1,"petite","second",3758,4171,367135,634510,7929,1001645,17,400,3393,97104,417,100497,"Normal"
2,1,"petite","second",3816,4169,375992,632437,7985,1008429,10,395,1950,98163,405,100113,"Normal"
2,2,"petite","second",135,6496,13324,992895,6631,1006219,1,384,281,100166,385,100447,"Normal"
38,1,"petite","second",3755,4201,366122,640916,7956,1007038,16,390,3150,96852,406,100002,"Normal"
5,1,"petite","second",3802,4146,372070,615479,7948,987549,12,402,2310,97975,414,100285,"Normal"
31,1,"petite","second",3716,4240,363642,645901,7956,1009543,8,393,1494,98600,401,100094,"Normal"
36,1,"petite","second",3740,4212,364690,644555,7952,1009245,17,387,3367,96870,404,100237,"Normal"
36,2,"petite","second",229,6589,22740,996105,6818,1018845,2,387,502,99714,389,100216,"Normal"
14,1,"petite","second",3820,4111,372929,629429,7931,1002358,12,390,2441,97616,402,100057,"Normal"
13,1,"petite","second",3776,4177,370201,637112,7953,1007313,9,386,1942,98272,395,100214,"Normal"
25,1,"petite","second",3736,4221,361814,643166,7957,1004980,8,402,1289,98928,410,100217,"Normal"
22,1,"petite","second",3723,4209,364804,641140,7932,1005944,11,393,2051,98034,404,100085,"Normal"
49,1,"petite","second",3749,4205,367950,637381,7954,1005331,8,386,1528,98512,394,100040,"Normal"
49,2,"petite","second",94,6528,9574,998267,6622,1007841,1,384,226,100068,385,100294,"Normal"
47,1,"petite","second",3734,4224,363790,640578,7958,1004368,17,393,3441,96878,410,100319,"Normal"
40,1,"petite","second",3708,4253,363799,649152,7961,1012951,15,383,2984,97037,398,100021,"Normal"
40,2,"petite","second",198,6581,20614,1002206,6779,1022820,1,379,265,99868,380,100133,"Normal"
23,1,"petite","second",3776,4156,369240,631164,7932,1000404,20,384,3785,96471,404,100256,"Normal"
23,2,"petite","second",248,6547,25175,988538,6795,1013713,1,400,225,99987,401,100212,"Normal"
24,1,"petite","second",3721,4238,364588,645900,7959,1010488,13,390,2314,97902,403,100216,"Normal"
12,1,"petite","second",3720,4231,360161,641552,7951,1001713,14,381,3058,97043,395,100101,"Normal"
12,2,"petite","second",206,6597,20792,1007944,6803,1028736,1,380,312,99741,381,100053,"Normal"
15,1,"petite","second",3783,4154,373800,637907,7937,1011707,16,391,2871,97272,407,100143,"Normal"
15,2,"petite","second",201,6589,19902,1005344,6790,1025246,1,382,322,99780,383,100102,"Normal"
41,1,"petite","second",3781,4150,374299,635106,7931,1009405,15,392,3212,96889,407,100101,"Normal"
41,2,"petite","second",214,6576,22290,998214,6790,1020504,2,382,551,99530,384,100081,"Normal"
46,1,"petite","second",3718,4238,359404,645584,7956,1004988,16,392,3067,97257,408,100324,"Normal"
46,2,"petite","second",201,6425,19546,980129,6626,999675,2,378,344,99727,380,100071,"Normal"
48,1,"petite","second",3723,4221,362688,641602,7944,1004290,12,405,2361,97771,417,100132,"Normal"
33,1,"petite","second",3749,4198,368261,638779,7947,1007040,14,382,2863,97365,396,100228,"Normal"
9,1,"petite","second",3764,4171,368866,640268,7935,1009134,15,387,2951,97067,402,100018,"Normal"
34,1,"petite","second",3760,4191,366965,632578,7951,999543,18,392,3639,96562,410,100201,"Normal"
7,1,"petite","second",3789,4169,372501,630097,7958,1002598,13,395,2534,97582,408,100116,"Normal"
6,1,"petite","second",3733,4235,364767,653434,7968,1018201,13,376,2620,97605,389,100225,"Normal"
1,1,"petite","second",3743,4215,365831,641809,7958,1007640,15,387,2689,97426,402,100115,"Normal"
1,2,"petite","second",174,6620,17277,1006487,6794,1023764,2,385,462,99720,387,100182,"Normal"
8,1,"petite","second",3730,4236,361106,646133,7966,1007239,15,378,2857,97204,393,100061,"Normal"
35,1,"petite","second",3766,4176,371252,630255,7942,1001507,15,396,3158,97082,411,100240,"Normal"
32,1,"petite","second",3728,4227,364187,636869,7955,1001056,19,389,3408,96705,408,100113,"Normal"
32,2,"petite","second",219,6585,19757,1006743,6804,1026500,1,384,178,99966,385,100144,"Normal"
50,1,"petite","second",3751,4182,368540,631851,7933,1000391,18,391,3990,96176,409,100166,"Normal"
50,2,"petite","second",278,6521,26665,994626,6799,1021291,1,384,198,99858,385,100056,"Normal"
43,1,"petite","second",3722,4219,367953,647065,7941,1015018,11,396,2232,97869,407,100101,"Normal"
43,2,"petite","second",156,6471,16376,981934,6627,998310,1,375,222,99921,376,100143,"Normal"
44,1,"petite","second",3759,4166,372668,631833,7925,1004501,8,401,1454,98706,409,100160,"Normal"
44,2,"petite","second",97,6520,9624,999159,6617,1008783,1,377,261,99746,378,100007,"Normal"
10,1,"petite","second",3718,4197,364016,641362,7915,1005378,10,387,1964,98324,397,100288,"Normal"
17,1,"petite","second",3768,4175,369685,635421,7943,1005106,15,379,3298,97030,394,100328,"Normal"
28,1,"petite","second",3811,4135,370995,627062,7946,998057,13,392,2545,97618,405,100163,"Normal"
28,2,"petite","second",175,6427,17328,980596,6602,997924,1,392,148,99973,393,100121,"Normal"
21,1,"petite","second",3759,4186,366171,633183,7945,999354,12,391,2329,97690,403,100019,"Normal"
26,1,"petite","second",3731,4249,360186,653751,7980,1013937,8,399,1581,98624,407,100205,"Normal"
26,2,"petite","second",101,6503,10208,990355,6604,1000563,1,387,233,99998,388,100231,"Normal"
19,1,"petite","second",3776,4184,370235,641000,7960,1011235,11,381,2663,97759,392,100422,"Normal"
45,1,"petite","second",3764,4195,365828,633941,7959,999769,8,397,1477,98550,405,100027,"Normal"
42,1,"petite","second",3752,4224,365048,644503,7976,1009551,11,396,1940,98071,407,100011,"Normal"
27,1,"petite","second",3783,4158,371387,627924,7941,999311,20,382,3870,96358,402,100228,"Normal"
18,1,"petite","second",3751,4193,368949,637234,7944,1006183,18,388,3509,96775,406,100284,"Normal"
20,1,"petite","second",3713,4229,361141,640738,7942,1001879,14,386,2806,97286,400,100092,"Normal"
20,2,"petite","second",180,6616,18455,1008102,6796,1026557,1,386,208,99903,387,100111,"Normal"
16,1,"petite","second",3790,4193,366870,642022,7983,1008892,11,399,2283,97975,410,100258,"Normal"
16,2,"petite","second",156,6476,14698,989440,6632,1004138,2,386,342,99865,388,100207,"Normal"
29,1,"petite","second",3740,4247,365944,642654,7987,1008598,17,390,3320,96896,407,100216,"Normal"
11,1,"petite","second",3747,4185,366892,638768,7932,1005660,14,388,2872,97288,402,100160,"Normal"
