"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
3,11,"petite","second",3763,4227,362670,637400,8454,1274800,15,401,2647,97533,802,195066,"10mill-boot"
3,12,"petite","second",3836,4216,370666,629378,8432,1258756,18,402,3143,97043,804,194086,"10mill-boot"
3,13,"petite","second",3643,4252,352548,647510,8504,1295020,16,405,3080,97000,810,194000,"10mill-boot"
3,14,"petite","second",3702,4255,359289,640863,8510,1281726,18,398,2972,97390,796,194780,"10mill-boot"
3,15,"petite","second",3699,4249,356315,643704,8498,1287408,12,403,2250,97944,806,195888,"10mill-boot"
3,16,"petite","second",3814,4178,367831,632231,8356,1264462,18,399,2902,97619,798,195238,"10mill-boot"
3,17,"petite","second",3718,4194,363780,636262,8388,1272524,22,391,3934,96138,782,192276,"10mill-boot"
3,18,"petite","second",3755,4206,362921,637205,8412,1274410,14,409,2305,98864,818,197728,"10mill-boot"
3,19,"petite","second",3725,4282,356630,643419,8564,1286838,15,396,2374,97877,792,195754,"10mill-boot"
3,20,"petite","second",3681,4198,361323,638853,8396,1277706,12,388,2432,97669,776,195338,"10mill-boot"
3,21,"petite","second",3739,4178,368646,631424,8356,1262848,16,398,2929,97269,796,194538,"10mill-boot"
3,22,"petite","second",3772,4223,365594,634509,8446,1269018,11,407,1790,98288,814,196576,"10mill-boot"
3,23,"petite","second",3834,4146,370260,629817,8292,1259634,18,398,3502,96876,796,193752,"10mill-boot"
3,24,"petite","second",3701,4197,358297,641711,8394,1283422,10,398,1812,98572,796,197144,"10mill-boot"
3,25,"petite","second",3707,4175,358076,641975,8350,1283950,16,382,2954,97155,764,194310,"10mill-boot"
3,26,"petite","second",3772,4228,367586,632457,8456,1264914,14,403,2636,97619,806,195238,"10mill-boot"
3,27,"petite","second",3796,4180,370385,629767,8360,1259534,10,405,1918,98404,810,196808,"10mill-boot"
3,28,"petite","second",3866,4222,369731,630290,8444,1260580,18,398,3305,96836,796,193672,"10mill-boot"
3,29,"petite","second",3759,4228,362496,637539,8456,1275078,17,396,2903,97569,792,195138,"10mill-boot"
3,30,"petite","second",3836,4164,369968,630056,8328,1260112,11,394,1867,98662,788,197324,"10mill-boot"
2,1,"petite","second",3685,4223,359083,641178,8446,1282356,20,378,4460,95572,756,191144,"10mill-boot"
2,2,"petite","second",3689,4227,357693,642393,8454,1284786,18,381,3375,96940,762,193880,"10mill-boot"
2,3,"petite","second",3590,4252,353469,646677,8504,1293354,15,391,3282,96800,782,193600,"10mill-boot"
2,4,"petite","second",3706,4275,359411,640651,8550,1281302,25,385,5019,95039,770,190078,"10mill-boot"
2,5,"petite","second",3707,4224,358234,641820,8448,1283640,17,375,3734,96590,750,193180,"10mill-boot"
2,6,"petite","second",3562,4240,349301,650781,8480,1301562,17,374,3649,96516,748,193032,"10mill-boot"
2,7,"petite","second",3532,4293,344183,655843,8586,1311686,16,371,3312,96801,742,193602,"10mill-boot"
2,8,"petite","second",3704,4230,361807,638219,8460,1276438,20,372,4011,96153,744,192306,"10mill-boot"
2,9,"petite","second",3668,4210,359648,640475,8420,1280950,17,379,3396,97130,758,194260,"10mill-boot"
2,10,"petite","second",3585,4206,351544,648480,8412,1296960,21,370,4570,95635,740,191270,"10mill-boot"
2,11,"petite","second",3667,4234,356208,643849,8468,1287698,19,367,4151,95873,734,191746,"10mill-boot"
2,12,"petite","second",3729,4166,366274,633798,8332,1267596,16,384,3055,97519,768,195038,"10mill-boot"
2,13,"petite","second",3718,4189,362476,637602,8378,1275204,14,378,2664,97452,756,194904,"10mill-boot"
2,14,"petite","second",3613,4238,354734,645319,8476,1290638,18,381,3604,96886,762,193772,"10mill-boot"
2,15,"petite","second",3616,4249,351482,648545,8498,1297090,12,379,2368,98012,758,196024,"10mill-boot"
2,16,"petite","second",3599,4267,356311,643840,8534,1287680,15,380,3056,97490,760,194980,"10mill-boot"
2,17,"petite","second",3605,4301,350209,649971,8602,1299942,18,371,3687,96634,742,193268,"10mill-boot"
2,18,"petite","second",3690,4228,359173,640956,8456,1281912,16,377,2945,97112,754,194224,"10mill-boot"
2,19,"petite","second",3554,4290,346073,654041,8580,1308082,19,376,4406,95795,752,191590,"10mill-boot"
2,20,"petite","second",3588,4235,347350,652717,8470,1305434,22,373,4377,95826,746,191652,"10mill-boot"
2,21,"petite","second",3549,4244,352564,647537,8488,1295074,28,370,5778,94374,740,188748,"10mill-boot"
2,22,"petite","second",3686,4191,359936,640231,8382,1280462,18,365,4028,96139,730,192278,"10mill-boot"
2,23,"petite","second",3670,4205,359682,640542,8410,1281084,24,383,4884,95127,766,190254,"10mill-boot"
2,24,"petite","second",3626,4215,353629,646384,8430,1292768,15,377,3090,97004,754,194008,"10mill-boot"
2,25,"petite","second",3590,4228,350663,649401,8456,1298802,20,371,3965,96106,742,192212,"10mill-boot"
2,26,"petite","second",3644,4216,353524,646644,8432,1293288,13,377,2500,97625,754,195250,"10mill-boot"
2,27,"petite","second",3569,4245,350739,649327,8490,1298654,18,371,3780,96817,742,193634,"10mill-boot"
2,28,"petite","second",3662,4233,358533,641519,8466,1283038,13,379,2616,97429,758,194858,"10mill-boot"
2,29,"petite","second",3592,4236,349213,650891,8472,1301782,22,369,4486,95701,738,191402,"10mill-boot"
2,30,"petite","second",3651,4185,357764,642381,8370,1284762,25,387,4697,95904,774,191808,"10mill-boot"
38,1,"petite","second",3876,4056,378090,621994,8112,1243988,18,380,2896,97154,760,194308,"10mill-boot"
38,2,"petite","second",3706,4080,369245,630835,8160,1261670,12,379,2151,97891,758,195782,"10mill-boot"
38,3,"petite","second",3792,4124,368145,631972,8248,1263944,12,385,2351,97827,770,195654,"10mill-boot"
38,4,"petite","second",3788,4042,372388,627670,8084,1255340,9,390,1588,98651,780,197302,"10mill-boot"
38,5,"petite","second",3716,4090,363431,636621,8180,1273242,11,376,2106,98103,752,196206,"10mill-boot"
38,6,"petite","second",3769,4028,369050,630985,8056,1261970,14,372,2664,97483,744,194966,"10mill-boot"
38,7,"petite","second",3716,4118,365887,634114,8236,1268228,9,396,1673,98419,792,196838,"10mill-boot"
38,8,"petite","second",3722,4086,366583,633446,8172,1266892,11,368,2473,97841,736,195682,"10mill-boot"
38,9,"petite","second",3733,4093,367365,632908,8186,1265816,13,398,2362,97652,796,195304,"10mill-boot"
38,10,"petite","second",3798,4041,374227,625896,8082,1251792,7,381,1297,99002,762,198004,"10mill-boot"
38,11,"petite","second",3788,4048,372688,627365,8096,1254730,15,369,2897,97187,738,194374,"10mill-boot"
38,12,"petite","second",3748,4110,365605,634411,8220,1268822,17,388,3143,97426,776,194852,"10mill-boot"
38,13,"petite","second",3751,4111,370470,629591,8222,1259182,8,383,1407,99373,766,198746,"10mill-boot"
38,14,"petite","second",3757,4097,370490,629526,8194,1259052,17,383,3405,96607,766,193214,"10mill-boot"
38,15,"petite","second",3736,4112,364962,635119,8224,1270238,13,390,2579,97640,780,195280,"10mill-boot"
38,16,"petite","second",3795,4017,372939,627061,8034,1254122,17,386,2900,97231,772,194462,"10mill-boot"
38,17,"petite","second",3763,4085,369480,630553,8170,1261106,14,394,2590,97444,788,194888,"10mill-boot"
38,18,"petite","second",3709,4077,362226,637870,8154,1275740,8,379,1478,99281,758,198562,"10mill-boot"
38,19,"petite","second",3792,4090,370044,630007,8180,1260014,10,393,2002,98050,786,196100,"10mill-boot"
38,20,"petite","second",3867,4076,378846,621219,8152,1242438,12,386,1970,98227,772,196454,"10mill-boot"
38,21,"petite","second",3757,4118,366126,633907,8236,1267814,14,379,2416,97625,758,195250,"10mill-boot"
38,22,"petite","second",3700,4068,366841,633203,8136,1266406,10,386,1823,98696,772,197392,"10mill-boot"
38,23,"petite","second",3749,4052,368856,631170,8104,1262340,11,396,2235,98337,792,196674,"10mill-boot"
38,24,"petite","second",3757,4074,371263,628806,8148,1257612,9,392,1535,98839,784,197678,"10mill-boot"
38,25,"petite","second",3686,4076,362296,637781,8152,1275562,14,376,2445,97596,752,195192,"10mill-boot"
38,26,"petite","second",3810,4014,376088,624089,8028,1248178,11,387,2001,98370,774,196740,"10mill-boot"
38,27,"petite","second",3757,4003,371582,628473,8006,1256946,16,369,2875,97704,738,195408,"10mill-boot"
38,28,"petite","second",3680,4072,365252,634751,8144,1269502,14,369,2520,97554,738,195108,"10mill-boot"
38,29,"petite","second",3750,4056,369699,630457,8112,1260914,15,383,2771,97524,766,195048,"10mill-boot"
38,30,"petite","second",3654,4140,355620,644418,8280,1288836,6,390,1146,99051,780,198102,"10mill-boot"
5,1,"petite","second",3870,4134,373178,626887,8268,1253774,13,387,2493,97781,774,195562,"10mill-boot"
5,2,"petite","second",3989,4014,386908,613099,8028,1226198,18,386,3541,96598,772,193196,"10mill-boot"
5,3,"petite","second",3865,4076,379886,620281,8152,1240562,19,382,3623,96482,764,192964,"10mill-boot"
5,4,"petite","second",3901,4114,374978,625230,8228,1250460,10,392,1866,98243,784,196486,"10mill-boot"
5,5,"petite","second",3819,4070,369735,630430,8140,1260860,9,391,1722,98775,782,197550,"10mill-boot"
5,6,"petite","second",3861,4115,374686,625366,8230,1250732,11,393,2099,97916,786,195832,"10mill-boot"
5,7,"petite","second",3849,4107,375886,624308,8214,1248616,14,389,2771,97465,778,194930,"10mill-boot"
5,8,"petite","second",3761,4160,365325,634848,8320,1269696,11,384,2021,98064,768,196128,"10mill-boot"
5,9,"petite","second",3887,4073,376120,623995,8146,1247990,15,389,2693,97348,778,194696,"10mill-boot"
5,10,"petite","second",3837,4118,374414,625643,8236,1251286,16,390,2715,97311,780,194622,"10mill-boot"
5,11,"petite","second",3887,4104,374984,625103,8208,1250206,13,407,2499,97701,814,195402,"10mill-boot"
5,12,"petite","second",3849,4066,374714,625296,8132,1250592,11,396,2132,98457,792,196914,"10mill-boot"
5,13,"petite","second",3932,4061,385729,614348,8122,1228696,10,406,1948,98840,812,197680,"10mill-boot"
5,14,"petite","second",3888,4105,376993,623070,8210,1246140,11,398,2076,98064,796,196128,"10mill-boot"
5,15,"petite","second",3862,4121,376159,623869,8242,1247738,13,397,2449,97672,794,195344,"10mill-boot"
5,16,"petite","second",3916,4091,377995,622151,8182,1244302,15,396,2944,97075,792,194150,"10mill-boot"
5,17,"petite","second",3868,4051,377449,622593,8102,1245186,17,375,3391,96646,750,193292,"10mill-boot"
5,18,"petite","second",3877,4085,375263,624782,8170,1249564,13,401,2393,97734,802,195468,"10mill-boot"
5,19,"petite","second",3883,4103,373556,626506,8206,1253012,9,401,1589,98563,802,197126,"10mill-boot"
5,20,"petite","second",3811,4111,369319,630830,8222,1261660,13,397,2584,97572,794,195144,"10mill-boot"
5,21,"petite","second",3859,4080,373027,627104,8160,1254208,8,389,1582,98790,778,197580,"10mill-boot"
5,22,"petite","second",3856,4069,374229,625780,8138,1251560,10,397,2073,98083,794,196166,"10mill-boot"
5,23,"petite","second",3941,4027,385356,614815,8054,1229630,7,408,1154,98858,816,197716,"10mill-boot"
5,24,"petite","second",3781,4161,366721,633280,8322,1266560,13,385,2245,97779,770,195558,"10mill-boot"
5,25,"petite","second",3892,4068,379040,621046,8136,1242092,10,402,2009,98130,804,196260,"10mill-boot"
5,26,"petite","second",3860,4080,373855,626303,8160,1252606,11,385,2185,98198,770,196396,"10mill-boot"
5,27,"petite","second",3938,4056,379156,620867,8112,1241734,17,394,3168,96856,788,193712,"10mill-boot"
5,28,"petite","second",3920,4028,381919,618113,8056,1236226,8,387,1570,98467,774,196934,"10mill-boot"
5,29,"petite","second",3850,4067,374201,625889,8134,1251778,14,385,2642,97365,770,194730,"10mill-boot"
5,30,"petite","second",3840,4115,374398,625843,8230,1251686,15,381,3034,97099,762,194198,"10mill-boot"
31,1,"petite","second",3725,4204,362200,637913,8408,1275826,13,387,2565,97561,774,195122,"10mill-boot"
31,2,"petite","second",3809,4057,376404,623716,8114,1247432,13,385,2401,97660,770,195320,"10mill-boot"
31,3,"petite","second",3840,4142,373033,627044,8284,1254088,13,385,2896,97619,770,195238,"10mill-boot"
31,4,"petite","second",3877,4123,375330,624725,8246,1249450,19,392,3810,96242,784,192484,"10mill-boot"
31,5,"petite","second",3786,4171,374366,625720,8342,1251440,20,393,4557,95566,786,191132,"10mill-boot"
31,6,"petite","second",3775,4132,369085,630942,8264,1261884,13,389,2395,97660,778,195320,"10mill-boot"
31,7,"petite","second",3858,4145,374789,625251,8290,1250502,13,390,2577,97609,780,195218,"10mill-boot"
31,8,"petite","second",3673,4239,360780,639343,8478,1278686,21,383,3766,96373,766,192746,"10mill-boot"
31,9,"petite","second",3721,4247,359931,640100,8494,1280200,10,392,1930,98490,784,196980,"10mill-boot"
31,10,"petite","second",3738,4177,365837,634254,8354,1268508,13,391,2557,97662,782,195324,"10mill-boot"
31,11,"petite","second",3804,4151,372207,627808,8302,1255616,16,395,3047,97081,790,194162,"10mill-boot"
31,12,"petite","second",3752,4187,364552,635620,8374,1271240,14,384,2905,97295,768,194590,"10mill-boot"
31,13,"petite","second",3836,4127,378387,621856,8254,1243712,20,396,4091,95968,792,191936,"10mill-boot"
31,14,"petite","second",3805,4162,375821,624279,8324,1248558,11,400,2099,98729,800,197458,"10mill-boot"
31,15,"petite","second",3747,4175,369124,630956,8350,1261912,14,386,3122,97438,772,194876,"10mill-boot"
31,16,"petite","second",3727,4217,360216,639964,8434,1279928,10,393,1931,98279,786,196558,"10mill-boot"
