"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
49,1,890,"petite","second",521,326,50034,50115,847,100149,37784,41752,3692326,6364468,79536,10056794,"10mill"
49,2,850,"petite","second",8,386,1528,98512,394,100040,996,65224,98115,9946604,66220,10044719,"10mill"
49,3,850,"petite","second",1,384,226,100068,385,100294,146,66131,14788,10077615,66277,10092403,"10mill"
47,1,890,"petite","second",515,334,50018,50038,849,100056,37841,41730,3689597,6351240,79571,10040837,"10mill"
47,2,850,"petite","second",17,393,3441,96878,410,100319,2244,64107,223698,9778913,66351,10002611,"10mill"
40,1,890,"petite","second",506,335,50084,50137,841,100221,37918,41686,3696607,6363998,79604,10060605,"10mill"
40,2,855,"petite","second",15,383,2984,97037,398,100021,1973,65812,196829,10066399,67785,10263228,"10mill"
40,3,850,"petite","second",1,379,265,99868,380,100133,172,65945,17230,10066440,66117,10083670,"10mill"
23,1,890,"petite","second",510,332,50056,50092,842,100148,37760,41555,3694768,6340648,79315,10035416,"10mill"
23,2,855,"petite","second",20,384,3785,96471,404,100256,2525,65423,250599,10000958,67948,10251557,"10mill"
23,3,850,"petite","second",1,400,225,99987,401,100212,146,66220,14905,10079038,66366,10093943,"10mill"
24,1,890,"petite","second",495,330,50005,50149,825,100154,37775,41809,3690171,6360060,79584,10050231,"10mill"
24,2,850,"petite","second",13,390,2314,97902,403,100216,1556,64426,152716,9864114,65982,10016830,"10mill"
12,1,890,"petite","second",507,326,50007,50119,833,100126,37778,41726,3697647,6361146,79504,10058793,"10mill"
12,2,855,"petite","second",14,381,3058,97043,395,100101,2052,65970,203569,10079030,68022,10282599,"10mill"
12,3,850,"petite","second",1,380,312,99741,381,100053,203,65941,20254,10050832,66144,10071086,"10mill"
15,1,890,"petite","second",517,337,50009,50145,854,100154,37715,41653,3691511,6363884,79368,10055395,"10mill"
15,2,855,"petite","second",16,391,2871,97272,407,100143,1942,65950,192532,10092105,67892,10284637,"10mill"
15,3,850,"petite","second",1,382,322,99780,383,100102,214,65815,21036,10066182,66029,10087218,"10mill"
41,1,890,"petite","second",508,332,50046,50069,840,100115,37705,41597,3695114,6344864,79302,10039978,"10mill"
41,2,855,"petite","second",15,392,3212,96889,407,100101,2146,65752,213982,10057836,67898,10271818,"10mill"
41,3,850,"petite","second",2,382,551,99530,384,100081,363,65796,35857,10037078,66159,10072935,"10mill"
46,1,890,"petite","second",522,327,50124,50117,849,100241,37890,41670,3699699,6358527,79560,10058226,"10mill"
46,2,850,"petite","second",16,392,3067,97257,408,100324,2023,64231,199877,9803990,66254,10003867,"10mill"
46,3,850,"petite","second",2,378,344,99727,380,100071,219,65658,22152,10051714,65877,10073866,"10mill"
48,1,890,"petite","second",503,332,50113,50150,835,100263,37905,41526,3706606,6353171,79431,10059777,"10mill"
48,2,850,"petite","second",12,405,2361,97771,417,100132,1544,64483,152847,9866478,66027,10019325,"10mill"
33,1,890,"petite","second",498,324,50046,50099,822,100145,37756,41711,3700908,6353864,79467,10054772,"10mill"
33,2,855,"petite","second",14,382,2863,97365,396,100228,1938,65920,189753,10090985,67858,10280738,"10mill"
9,1,890,"petite","second",499,336,50034,50134,835,100168,37684,41661,3694886,6369059,79345,10063945,"10mill"
9,2,855,"petite","second",15,387,2951,97067,402,100018,1975,66011,195673,10070347,67986,10266020,"10mill"
34,1,890,"petite","second",502,308,50098,50134,810,100232,37848,41662,3702088,6363064,79510,10065152,"10mill"
34,2,855,"petite","second",18,392,3639,96562,410,100201,2438,65715,241209,10017489,68153,10258698,"10mill"
7,1,890,"petite","second",519,322,50048,50096,841,100144,37837,41742,3693222,6364131,79579,10057353,"10mill"
7,2,855,"petite","second",13,395,2534,97582,408,100116,1726,66438,167884,10122006,68164,10289890,"10mill"
6,1,890,"petite","second",499,321,50043,50138,820,100181,38002,41674,3694723,6362402,79676,10057125,"10mill"
6,2,850,"petite","second",13,376,2620,97605,389,100225,1694,64449,168279,9845744,66143,10014023,"10mill"
1,1,890,"petite","second",501,334,50068,50104,835,100172,37770,41804,3696326,6367168,79574,10063494,"10mill"
1,2,855,"petite","second",15,387,2689,97426,402,100115,1792,66144,177464,10098955,67936,10276419,"10mill"
1,3,850,"petite","second",2,385,462,99720,387,100182,299,65891,29846,10064337,66190,10094183,"10mill"
8,1,890,"petite","second",505,328,50016,50186,833,100202,37897,41762,3690211,6379321,79659,10069532,"10mill"
8,2,855,"petite","second",15,378,2857,97204,393,100061,1921,66047,191304,10092412,67968,10283716,"10mill"
35,1,890,"petite","second",507,326,50015,50157,833,100172,37686,41728,3690687,6366535,79414,10057222,"10mill"
35,2,855,"petite","second",15,396,3158,97082,411,100240,2142,66039,210250,10073267,68181,10283517,"10mill"
