"sim_number","generation_number","diff_minutes","experiment","percent_cell_cycle","experiment_name"
1,1,46.0131,"slow_first_div",0.436833014988773,"Slow First Division"
1,1,33.4867,"slow_first_div",0.3179115539493,"Slow First Division"
1,1,26.0634,"slow_first_div",0.247437221201319,"Slow First Division"
1,1,40.7801,"slow_first_div",0.387152659450106,"Slow First Division"
1,1,28.4008,"slow_first_div",0.269627716717482,"Slow First Division"
1,1,48.0486,"slow_first_div",0.456157372661037,"Slow First Division"
1,1,1.6649,"slow_first_div",0.0158060049563018,"Slow First Division"
1,1,53.7565,"slow_first_div",0.510346270306586,"Slow First Division"
1,1,30.6904,"slow_first_div",0.291364414986416,"Slow First Division"
1,1,28.989,"slow_first_div",0.275211891211623,"Slow First Division"
1,1,21.5261,"slow_first_div",0.204361609279745,"Slow First Division"
1,1,35.0153,"slow_first_div",0.332423572194362,"Slow First Division"
1,1,21.0294,"slow_first_div",0.199646105248395,"Slow First Division"
1,1,8.1818,"slow_first_div",0.0776752786062044,"Slow First Division"
1,1,36.0518,"slow_first_div",0.342263757272869,"Slow First Division"
1,1,33.1873,"slow_first_div",0.315069150271051,"Slow First Division"
1,1,29.1167,"slow_first_div",0.276424232393028,"Slow First Division"
1,1,26.3519,"slow_first_div",0.250176143917333,"Slow First Division"
1,1,56.9887,"slow_first_div",0.541031698392212,"Slow First Division"
1,1,18.3815,"slow_first_div",0.174507826358496,"Slow First Division"
1,1,10.7783,"slow_first_div",0.102325583050338,"Slow First Division"
1,1,39.727,"slow_first_div",0.377154879511683,"Slow First Division"
1,1,34.0172,"slow_first_div",0.322947943900239,"Slow First Division"
1,1,44.2283,"slow_first_div",0.419888719447895,"Slow First Division"
1,1,20.1776,"slow_first_div",0.191559400328112,"Slow First Division"
1,1,48.9353,"slow_first_div",0.464575406533794,"Slow First Division"
1,1,33.0981,"slow_first_div",0.314222315240658,"Slow First Division"
1,1,32.3637,"slow_first_div",0.307250166739302,"Slow First Division"
1,1,29.0905,"slow_first_div",0.276175498337015,"Slow First Division"
1,1,22.2315,"slow_first_div",0.211058441459561,"Slow First Division"
1,1,35.6391,"slow_first_div",0.33834572120736,"Slow First Division"
1,1,45.3676,"slow_first_div",0.430704853417933,"Slow First Division"
1,1,20.8536,"slow_first_div",0.197977118719884,"Slow First Division"
1,1,35.445,"slow_first_div",0.336503000586291,"Slow First Division"
1,1,39.7901,"slow_first_div",0.377753929852689,"Slow First Division"
1,1,14.5087,"slow_first_div",0.137740755666704,"Slow First Division"
1,1,32.0318,"slow_first_div",0.304099218907602,"Slow First Division"
1,1,34.544,"slow_first_div",0.327949207286016,"Slow First Division"
1,1,29.9275,"slow_first_div",0.284121696996649,"Slow First Division"
