"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
16,3,"petite","second",57,627,5765,94940,684,100705,5,68,443,9724,73,10167,"Normal"
16,4,"petite","second",34,636,3772,96370,670,100142,3,58,340,9697,61,10037,"Normal"
16,5,"petite","second",21,634,2570,99365,655,101935,1,62,266,9787,63,10053,"Normal"
35,1,"petite","second",391,403,38363,63202,794,101565,31,40,3008,7014,71,10022,"Normal"
35,2,"petite","second",240,499,22801,77313,739,100114,11,47,1123,9046,58,10169,"Normal"
35,3,"petite","second",72,622,7173,94002,694,101175,5,60,505,9514,65,10019,"Normal"
35,4,"petite","second",35,655,3773,98226,690,101999,4,64,447,9566,68,10013,"Normal"
14,1,"petite","second",388,419,38611,64259,807,102870,28,43,2806,7251,71,10057,"Normal"
14,2,"petite","second",175,568,17416,87839,743,105255,11,54,1189,9035,65,10224,"Normal"
14,3,"petite","second",71,629,7099,98050,700,105149,4,56,517,9700,60,10217,"Normal"
14,4,"petite","second",42,631,4108,97305,673,101413,5,63,314,9774,68,10088,"Normal"
14,5,"petite","second",15,652,1528,101522,667,103050,1,59,47,10021,60,10068,"Normal"
3,1,"petite","second",358,429,34981,67206,787,102187,28,42,3214,6909,70,10123,"Normal"
3,2,"petite","second",226,520,21741,80487,746,102228,13,56,1291,8832,69,10123,"Normal"
3,3,"petite","second",75,608,8016,94230,683,102246,9,52,1274,8891,61,10165,"Normal"
3,4,"petite","second",80,609,7819,91476,689,99295,6,59,691,9319,65,10010,"Normal"
3,5,"petite","second",52,620,5157,95145,672,100302,1,58,67,10084,59,10151,"Normal"
36,1,"petite","second",361,436,35896,65134,797,101030,29,42,2903,7157,71,10060,"Normal"
36,2,"petite","second",202,541,20386,82855,743,103241,13,50,1272,8753,63,10025,"Normal"
36,3,"petite","second",100,597,10230,90576,697,100806,3,60,353,9760,63,10113,"Normal"
19,1,"petite","second",391,414,38310,63129,805,101439,31,36,3316,6709,67,10025,"Normal"
19,2,"petite","second",238,525,23643,81780,763,105423,12,55,1334,8684,67,10018,"Normal"
19,3,"petite","second",82,624,7640,95192,706,102832,3,61,270,9879,64,10149,"Normal"
4,1,"petite","second",379,428,36062,66042,807,102104,31,47,3170,6892,78,10062,"Normal"
4,2,"petite","second",226,522,22727,81216,748,103943,15,50,1731,8465,65,10196,"Normal"
4,3,"petite","second",113,601,11757,91641,714,103398,10,52,1389,8646,62,10035,"Normal"
4,4,"petite","second",80,624,7894,96237,704,104131,7,58,816,9253,65,10069,"Normal"
4,5,"petite","second",58,634,5786,95859,692,101645,4,56,466,9552,60,10018,"Normal"
4,6,"petite","second",23,655,2693,99787,678,102480,2,58,210,9817,60,10027,"Normal"
4,7,"petite","second",18,640,1739,98635,658,100374,1,65,126,9955,66,10081,"Normal"
4,8,"petite","second",13,651,1417,98813,664,100230,2,60,243,9879,62,10122,"Normal"
4,9,"petite","second",14,660,1236,97927,674,99163,2,67,118,9937,69,10055,"Normal"
1,1,"petite","second",388,412,37359,63077,800,100436,29,41,3220,6859,70,10079,"Normal"
1,2,"petite","second",217,526,20810,81550,743,102360,20,50,1939,8141,70,10080,"Normal"
1,3,"petite","second",141,565,13893,85585,706,99478,15,51,1611,8499,66,10110,"Normal"
1,4,"petite","second",104,604,10138,93451,708,103589,7,57,682,9401,64,10083,"Normal"
1,5,"petite","second",45,645,4477,100430,690,104907,4,59,289,9772,63,10061,"Normal"
1,6,"petite","second",17,652,1617,98457,669,100074,1,58,53,9947,59,10000,"Normal"
34,1,"petite","second",396,413,39112,63933,809,103045,39,37,4011,6053,76,10064,"Normal"
34,2,"petite","second",296,488,28599,74825,784,103424,17,49,1639,8365,66,10004,"Normal"
34,3,"petite","second",96,612,10232,92228,708,102460,8,55,1024,9082,63,10106,"Normal"
28,1,"petite","second",387,413,39204,63741,800,102945,34,38,3865,6166,72,10031,"Normal"
28,2,"petite","second",278,482,28505,72312,760,100817,21,51,2028,8165,72,10193,"Normal"
28,3,"petite","second",143,562,14990,87200,705,102190,15,50,1710,8292,65,10002,"Normal"
28,4,"petite","second",131,586,12509,90342,717,102851,6,59,636,9538,65,10174,"Normal"
28,5,"petite","second",48,630,5031,94352,678,99383,4,57,477,9543,61,10020,"Normal"
28,6,"petite","second",31,644,3073,98688,675,101761,2,62,244,9757,64,10001,"Normal"
15,1,"petite","second",400,410,40486,64930,810,105416,26,41,2974,7088,67,10062,"Normal"
15,2,"petite","second",219,530,20309,80458,749,100767,11,55,958,9224,66,10182,"Normal"
15,3,"petite","second",74,613,7519,94785,687,102304,5,55,447,9584,60,10031,"Normal"
15,4,"petite","second",21,663,2026,103553,684,105579,4,60,418,9584,64,10002,"Normal"
21,1,"petite","second",378,431,36288,66408,809,102696,33,38,3530,6583,71,10113,"Normal"
21,2,"petite","second",261,482,25197,73334,743,98531,22,47,2138,7914,69,10052,"Normal"
