"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
3,4,"petite","second",3695,4177,362196,637835,8354,1275670,10,392,2133,98061,784,196122,"10mill-boot"
3,5,"petite","second",3622,4256,354713,645346,8512,1290692,14,393,2523,97587,786,195174,"10mill-boot"
3,6,"petite","second",3732,4173,367522,632623,8346,1265246,13,392,2328,98167,784,196334,"10mill-boot"
3,7,"petite","second",3664,4237,358446,641633,8474,1283266,14,401,2677,98243,802,196486,"10mill-boot"
3,8,"petite","second",3605,4328,356345,643664,8656,1287328,11,402,1919,98631,804,197262,"10mill-boot"
3,9,"petite","second",3698,4193,363257,636924,8386,1273848,12,390,2264,97813,780,195626,"10mill-boot"
3,10,"petite","second",3810,4117,375576,624465,8234,1248930,17,378,3440,96706,756,193412,"10mill-boot"
3,11,"petite","second",3603,4238,359376,640633,8476,1281266,17,395,2967,97147,790,194294,"10mill-boot"
3,12,"petite","second",3697,4236,363159,636845,8472,1273690,14,390,2645,97539,780,195078,"10mill-boot"
3,13,"petite","second",3612,4178,358793,641260,8356,1282520,14,388,2916,97256,776,194512,"10mill-boot"
3,14,"petite","second",3751,4207,364997,635040,8414,1270080,10,390,1904,98096,780,196192,"10mill-boot"
3,15,"petite","second",3704,4133,369370,630759,8266,1261518,13,394,2664,97502,788,195004,"10mill-boot"
3,16,"petite","second",3644,4211,356626,643432,8422,1286864,11,390,1937,98160,780,196320,"10mill-boot"
3,17,"petite","second",3686,4195,363504,636700,8390,1273400,10,388,1708,98572,776,197144,"10mill-boot"
3,18,"petite","second",3662,4222,358850,641202,8444,1282404,9,387,1895,98392,774,196784,"10mill-boot"
3,19,"petite","second",3627,4218,353522,646497,8436,1292994,10,399,1909,98424,798,196848,"10mill-boot"
3,20,"petite","second",3670,4246,357989,642032,8492,1284064,14,393,2625,98087,786,196174,"10mill-boot"
3,21,"petite","second",3671,4199,361937,638168,8398,1276336,17,396,3538,97129,792,194258,"10mill-boot"
3,22,"petite","second",3639,4227,360093,640054,8454,1280108,11,398,2179,98176,796,196352,"10mill-boot"
3,23,"petite","second",3780,4157,370876,629281,8314,1258562,16,392,2827,97380,784,194760,"10mill-boot"
3,24,"petite","second",3636,4276,354784,645318,8552,1290636,12,408,2396,97983,816,195966,"10mill-boot"
3,25,"petite","second",3771,4164,368930,631181,8328,1262362,12,382,2128,98082,764,196164,"10mill-boot"
3,26,"petite","second",3614,4248,350276,649759,8496,1299518,7,397,1336,98764,794,197528,"10mill-boot"
3,27,"petite","second",3696,4194,368006,632124,8388,1264248,14,409,2824,97200,818,194400,"10mill-boot"
3,28,"petite","second",3664,4210,361173,638983,8420,1277966,8,396,1560,98667,792,197334,"10mill-boot"
3,29,"petite","second",3651,4235,358730,641330,8470,1282660,13,387,2707,97504,774,195008,"10mill-boot"
3,30,"petite","second",3708,4142,366729,633375,8284,1266750,5,395,1026,98995,790,197990,"10mill-boot"
2,1,"petite","second",3718,4069,367074,633015,8138,1266030,16,389,3513,97032,778,194064,"10mill-boot"
2,2,"petite","second",3835,4058,378535,621656,8116,1243312,9,397,1959,98053,794,196106,"10mill-boot"
2,3,"petite","second",3738,4099,365032,635027,8198,1270054,17,381,3680,96822,762,193644,"10mill-boot"
2,4,"petite","second",3702,4101,365184,634972,8202,1269944,8,387,2002,98125,774,196250,"10mill-boot"
2,5,"petite","second",3738,4171,364728,635432,8342,1270864,8,399,1535,98526,798,197052,"10mill-boot"
2,6,"petite","second",3749,4151,369811,630201,8302,1260402,15,392,3354,97039,784,194078,"10mill-boot"
2,7,"petite","second",3699,4142,361735,638332,8284,1276664,11,388,2322,97802,776,195604,"10mill-boot"
2,8,"petite","second",3753,4101,367478,632596,8202,1265192,7,396,1459,98705,792,197410,"10mill-boot"
2,9,"petite","second",3656,4208,355885,644176,8416,1288352,9,402,1683,98695,804,197390,"10mill-boot"
2,10,"petite","second",3767,4130,369149,630858,8260,1261716,10,394,2076,98195,788,196390,"10mill-boot"
2,11,"petite","second",3753,4142,367904,632206,8284,1264412,9,394,2062,98193,788,196386,"10mill-boot"
2,12,"petite","second",3749,4144,369074,630971,8288,1261942,10,392,2113,97996,784,195992,"10mill-boot"
2,13,"petite","second",3691,4231,358624,641423,8462,1282846,15,398,3313,97162,796,194324,"10mill-boot"
2,14,"petite","second",3685,4101,360594,639510,8202,1279020,11,392,2318,97862,784,195724,"10mill-boot"
2,15,"petite","second",3684,4154,361157,638978,8308,1277956,8,388,1545,99204,776,198408,"10mill-boot"
2,16,"petite","second",3735,4150,365126,634981,8300,1269962,13,400,2785,97492,800,194984,"10mill-boot"
2,17,"petite","second",3659,4175,355567,644464,8350,1288928,10,389,2002,98160,778,196320,"10mill-boot"
2,18,"petite","second",3804,4088,370144,629882,8176,1259764,13,388,2749,97907,776,195814,"10mill-boot"
2,19,"petite","second",3726,4096,366886,633144,8192,1266288,9,396,1949,98624,792,197248,"10mill-boot"
2,20,"petite","second",3680,4154,362414,637648,8308,1275296,10,398,2135,97980,796,195960,"10mill-boot"
2,21,"petite","second",3736,4152,367639,632467,8304,1264934,10,378,2218,97975,756,195950,"10mill-boot"
2,22,"petite","second",3755,4129,367962,632084,8258,1264168,9,400,2104,98297,800,196594,"10mill-boot"
2,23,"petite","second",3779,4120,370578,629510,8240,1259020,11,404,2772,97462,808,194924,"10mill-boot"
2,24,"petite","second",3747,4140,365611,634394,8280,1268788,6,396,1098,98920,792,197840,"10mill-boot"
2,25,"petite","second",3760,4119,368991,631038,8238,1262076,9,391,1826,98552,782,197104,"10mill-boot"
2,26,"petite","second",3754,4111,367199,632803,8222,1265606,10,392,2325,97697,784,195394,"10mill-boot"
2,27,"petite","second",3730,4109,371245,628791,8218,1257582,7,393,1509,98564,786,197128,"10mill-boot"
2,28,"petite","second",3752,4096,367736,632501,8192,1265002,6,402,1271,99367,804,198734,"10mill-boot"
2,29,"petite","second",3758,4126,368758,631340,8252,1262680,11,393,2620,97545,786,195090,"10mill-boot"
2,30,"petite","second",3713,4141,361544,638669,8282,1277338,10,404,1713,98528,808,197056,"10mill-boot"
38,1,"petite","second",3765,4143,370047,629999,8286,1259998,7,415,1167,99188,830,198376,"10mill-boot"
38,2,"petite","second",3874,4082,380077,619946,8164,1239892,9,403,1447,98646,806,197292,"10mill-boot"
38,3,"petite","second",3731,4139,368079,632009,8278,1264018,7,403,1263,98834,806,197668,"10mill-boot"
38,4,"petite","second",3726,4154,367734,632363,8308,1264726,14,407,2255,98054,814,196108,"10mill-boot"
38,5,"petite","second",3827,4104,373171,626946,8208,1253892,8,400,1367,98658,800,197316,"10mill-boot"
38,6,"petite","second",3794,4074,375392,624698,8148,1249396,7,405,1189,99307,810,198614,"10mill-boot"
38,7,"petite","second",3733,4160,365109,635025,8320,1270050,11,398,1914,98389,796,196778,"10mill-boot"
38,8,"petite","second",3684,4189,364066,636004,8378,1272008,12,391,2029,98190,782,196380,"10mill-boot"
38,9,"petite","second",3803,4124,370498,629597,8248,1259194,7,408,1061,99022,816,198044,"10mill-boot"
38,10,"petite","second",3760,4134,371774,628279,8268,1256558,16,392,2789,97415,784,194830,"10mill-boot"
38,11,"petite","second",3759,4131,368449,631595,8262,1263190,10,401,1834,98407,802,196814,"10mill-boot"
38,12,"petite","second",3797,4126,373952,626090,8252,1252180,10,406,1658,98392,812,196784,"10mill-boot"
38,13,"petite","second",3736,4136,364773,635423,8272,1270846,11,399,1845,99311,798,198622,"10mill-boot"
38,14,"petite","second",3769,4118,372482,627523,8236,1255046,8,403,1386,98866,806,197732,"10mill-boot"
38,15,"petite","second",3782,4112,375610,624491,8224,1248982,10,407,1769,98335,814,196670,"10mill-boot"
38,16,"petite","second",3811,4132,376672,623398,8264,1246796,13,409,2528,97607,818,195214,"10mill-boot"
38,17,"petite","second",3736,4183,368812,631245,8366,1262490,4,409,686,99410,818,198820,"10mill-boot"
38,18,"petite","second",3692,4077,366913,633291,8154,1266582,5,400,845,99682,800,199364,"10mill-boot"
38,19,"petite","second",3791,4145,370983,629111,8290,1258222,12,400,2029,97988,800,195976,"10mill-boot"
38,20,"petite","second",3756,4138,371224,628911,8276,1257822,9,394,1493,98576,788,197152,"10mill-boot"
38,21,"petite","second",3802,4102,375683,624358,8204,1248716,13,399,2173,98189,798,196378,"10mill-boot"
38,22,"petite","second",3786,4118,371582,628502,8236,1257004,10,415,1687,98538,830,197076,"10mill-boot"
38,23,"petite","second",3772,4161,370149,629899,8322,1259798,10,407,1579,98756,814,197512,"10mill-boot"
38,24,"petite","second",3764,4102,372219,627816,8204,1255632,11,403,1779,98547,806,197094,"10mill-boot"
38,25,"petite","second",3632,4136,360628,639493,8272,1278986,10,397,1640,98692,794,197384,"10mill-boot"
