"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
30,30,"petite","second",37271,41543,3617183,6382931,83086,12765862,2835,4247,294284,705826,8494,1411652,"10mill-boot"
39,1,"petite","second",38024,40947,3707564,6292437,81894,12584874,2845,4245,296643,703602,8490,1407204,"10mill-boot"
39,2,"petite","second",37891,41084,3706040,6294094,82168,12588188,2880,4260,304033,696013,8520,1392026,"10mill-boot"
39,3,"petite","second",37861,41076,3709559,6290556,82152,12581112,2848,4291,297568,702746,8582,1405492,"10mill-boot"
39,4,"petite","second",37810,41198,3698070,6301992,82396,12603984,2905,4255,307390,692670,8510,1385340,"10mill-boot"
39,5,"petite","second",37853,41222,3680352,6319757,82444,12639514,2879,4240,300509,699866,8480,1399732,"10mill-boot"
39,6,"petite","second",37776,41122,3683176,6316860,82244,12633720,2800,4329,290742,709375,8658,1418750,"10mill-boot"
39,7,"petite","second",37854,41193,3678329,6321898,82386,12643796,2811,4248,295585,704436,8496,1408872,"10mill-boot"
39,8,"petite","second",38149,40834,3724970,6275056,81668,12550112,2900,4229,307118,693106,8458,1386212,"10mill-boot"
39,9,"petite","second",37814,41053,3680766,6319237,82106,12638474,2817,4291,295263,705061,8582,1410122,"10mill-boot"
39,10,"petite","second",37846,41055,3699442,6300648,82110,12601296,2845,4262,302480,697525,8524,1395050,"10mill-boot"
39,11,"petite","second",38243,41070,3728544,6271532,82140,12543064,2904,4207,305818,694414,8414,1388828,"10mill-boot"
39,12,"petite","second",37950,40873,3709253,6290899,81746,12581798,2797,4259,293811,706664,8518,1413328,"10mill-boot"
39,13,"petite","second",37626,41256,3672829,6327178,82512,12654356,2868,4216,304223,695819,8432,1391638,"10mill-boot"
39,14,"petite","second",37640,41214,3675986,6324084,82428,12648168,2784,4288,294065,706016,8576,1412032,"10mill-boot"
39,15,"petite","second",37901,41128,3690949,6309114,82256,12618228,2899,4256,302055,697995,8512,1395990,"10mill-boot"
39,16,"petite","second",38237,40923,3733166,6266920,81846,12533840,2942,4204,310205,690400,8408,1380800,"10mill-boot"
39,17,"petite","second",37839,40998,3695806,6304254,81996,12608508,2836,4265,295755,705557,8530,1411114,"10mill-boot"
39,18,"petite","second",37990,41121,3706486,6293530,82242,12587060,2829,4356,294574,705480,8712,1410960,"10mill-boot"
39,19,"petite","second",37298,41288,3637223,6362777,82576,12725554,2681,4272,283612,716523,8544,1433046,"10mill-boot"
39,20,"petite","second",37693,41169,3682690,6317345,82338,12634690,2744,4323,286926,713157,8646,1426314,"10mill-boot"
39,21,"petite","second",37801,41084,3687371,6312664,82168,12625328,2852,4213,302734,697271,8426,1394542,"10mill-boot"
39,22,"petite","second",38148,40698,3743753,6256315,81396,12512630,2888,4219,304544,695558,8438,1391116,"10mill-boot"
39,23,"petite","second",37801,40886,3697001,6303072,81772,12606144,2869,4262,300098,700023,8524,1400046,"10mill-boot"
39,24,"petite","second",37651,41141,3666204,6333802,82282,12667604,2852,4262,298623,701448,8524,1402896,"10mill-boot"
39,25,"petite","second",37945,41016,3710930,6289083,82032,12578166,2903,4190,307158,693055,8380,1386110,"10mill-boot"
39,26,"petite","second",38057,41246,3711949,6288072,82492,12576144,2857,4303,302531,697596,8606,1395192,"10mill-boot"
39,27,"petite","second",37781,41208,3698802,6301205,82416,12602410,2828,4292,293877,706383,8584,1412766,"10mill-boot"
39,28,"petite","second",37677,41249,3677040,6323087,82498,12646174,2910,4248,306005,694219,8496,1388438,"10mill-boot"
39,29,"petite","second",37705,41029,3679249,6320774,82058,12641548,2889,4271,302974,697129,8542,1394258,"10mill-boot"
