"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
43,2,"petite","second",28,48,2434,7476,76,9910,1,6,133,989,7,1122,"100k"
2,1,"petite","second",33,44,3593,6523,77,10116,2,5,315,768,7,1083,"100k"
2,2,"petite","second",21,54,2195,7328,75,9523,1,6,150,864,7,1014,"100k"
48,1,"petite","second",36,46,3112,6114,82,9226,3,5,329,751,8,1080,"100k"
48,2,"petite","second",14,61,1103,8903,75,10006,1,7,43,990,8,1033,"100k"
10,1,"petite","second",38,44,3594,6588,82,10182,3,5,237,804,8,1041,"100k"
32,1,"petite","second",38,42,3674,5833,80,9507,7,3,713,304,10,1017,"100k"
32,2,"petite","second",59,30,5770,4118,89,9888,7,2,835,166,9,1001,"100k"
32,3,"petite","second",72,21,6646,3004,93,9650,7,2,696,357,9,1053,"100k"
32,4,"petite","second",59,28,5746,4237,87,9983,5,2,604,491,7,1095,"100k"
32,5,"petite","second",40,42,3870,6373,82,10243,2,4,264,785,6,1049,"100k"
32,6,"petite","second",19,54,2078,7903,73,9981,1,4,174,1027,5,1201,"100k"
32,7,"petite","second",8,63,905,9376,71,10281,1,6,173,933,7,1106,"100k"
7,1,"petite","second",35,44,3128,7447,79,10575,1,5,89,1113,6,1202,"100k"
7,2,"petite","second",8,61,840,9344,69,10184,1,6,130,1013,7,1143,"100k"
33,1,"petite","second",35,47,3131,7370,82,10501,1,7,57,1077,8,1134,"100k"
30,1,"petite","second",37,43,3581,6846,80,10427,4,4,371,656,8,1027,"100k"
30,2,"petite","second",32,45,3561,6305,77,9866,6,2,689,390,8,1079,"100k"
30,3,"petite","second",49,36,5072,5519,85,10591,5,2,581,525,7,1106,"100k"
30,4,"petite","second",38,41,3700,5715,79,9415,3,6,321,740,9,1061,"100k"
30,5,"petite","second",25,50,2043,7591,75,9634,1,7,73,941,8,1014,"100k"
27,1,"petite","second",39,43,3643,5811,82,9454,5,5,614,490,10,1104,"100k"
27,2,"petite","second",43,40,3982,5089,83,9071,3,5,342,696,8,1038,"100k"
27,3,"petite","second",26,49,2483,6949,75,9432,2,6,306,740,8,1046,"100k"
27,4,"petite","second",17,56,1529,8454,73,9983,1,8,44,1013,9,1057,"100k"
47,1,"petite","second",40,40,3835,5702,80,9537,2,6,184,887,8,1071,"100k"
49,1,"petite","second",28,47,3003,6764,75,9767,3,4,382,661,7,1043,"100k"
49,2,"petite","second",21,57,2071,7954,78,10025,4,5,465,668,9,1133,"100k"
49,3,"petite","second",27,52,2508,7600,79,10108,5,4,714,445,9,1159,"100k"
49,4,"petite","second",40,44,4294,6515,84,10809,4,3,498,633,7,1131,"100k"
49,5,"petite","second",40,38,3939,5598,78,9537,4,5,427,713,9,1140,"100k"
49,6,"petite","second",27,50,2495,7315,77,9810,4,3,343,750,7,1093,"100k"
49,7,"petite","second",31,42,3057,6484,73,9541,2,6,274,771,8,1045,"100k"
49,8,"petite","second",24,50,2475,8159,74,10634,4,3,502,538,7,1040,"100k"
49,9,"petite","second",46,35,4487,5532,81,10019,5,4,462,576,9,1038,"100k"
49,10,"petite","second",31,48,2511,7210,79,9721,4,4,362,649,8,1011,"100k"
49,11,"petite","second",28,49,2684,7475,77,10159,2,5,166,930,7,1096,"100k"
49,12,"petite","second",10,60,1051,8625,70,9676,1,5,119,931,6,1050,"100k"
49,13,"petite","second",9,60,994,8851,69,9845,1,4,78,1062,5,1140,"100k"
24,1,"petite","second",35,47,2986,6715,82,9701,4,4,435,646,8,1081,"100k"
24,2,"petite","second",37,40,3505,6404,77,9909,6,3,698,489,9,1187,"100k"
24,3,"petite","second",50,35,4373,4808,85,9181,3,7,277,793,10,1070,"100k"
24,4,"petite","second",16,57,1383,8688,73,10071,1,7,101,997,8,1098,"100k"
20,1,"petite","second",31,49,2856,7724,80,10580,2,5,309,781,7,1090,"100k"
26,1,"petite","second",33,46,3124,6921,79,10045,3,4,333,798,7,1131,"100k"
26,2,"petite","second",22,49,2024,7215,71,9239,3,6,367,718,9,1085,"100k"
26,3,"petite","second",27,47,2450,6643,74,9093,4,5,381,693,9,1074,"100k"
26,4,"petite","second",29,47,2822,6201,76,9023,5,3,499,527,8,1026,"100k"
26,5,"petite","second",40,41,4132,6173,81,10305,3,4,306,766,7,1072,"100k"
26,6,"petite","second",23,50,2298,7159,73,9457,3,4,337,697,7,1034,"100k"
26,7,"petite","second",26,49,2740,6708,75,9448,1,9,102,925,10,1027,"100k"
17,1,"petite","second",44,36,4081,5697,80,9778,3,4,258,831,7,1089,"100k"
17,2,"petite","second",18,53,1819,7667,71,9486,2,7,193,1107,9,1300,"100k"
11,1,"petite","second",39,41,3604,5939,80,9543,3,6,204,813,9,1017,"100k"
11,2,"petite","second",9,64,950,9043,73,9993,1,8,83,1110,9,1193,"100k"
13,1,"petite","second",52,32,5194,4519,84,9713,4,4,453,707,8,1160,"100k"
13,2,"petite","second",31,45,3229,6349,76,9578,1,5,174,827,6,1001,"100k"
13,3,"petite","second",13,56,1275,8376,69,9651,1,7,113,1032,8,1145,"100k"
38,1,"petite","second",401,394,38114,58780,795,96894,30,44,3015,7100,74,10115,"1mill"
38,2,"petite","second",214,532,21120,79830,746,100950,19,54,1861,8173,73,10034,"1mill"
38,3,"petite","second",117,603,11672,90953,720,102625,10,54,842,9197,64,10039,"1mill"
38,4,"petite","second",73,613,7018,91017,686,98035,3,65,301,9706,68,10007,"1mill"
38,5,"petite","second",21,665,2100,97459,686,99559,2,57,143,9916,59,10059,"1mill"
8,1,"petite","second",379,429,37376,65321,808,102697,31,44,3248,6761,75,10009,"1mill"
8,2,"petite","second",238,505,24316,76460,743,100776,16,57,1729,8385,73,10114,"1mill"
8,3,"petite","second",121,588,11499,91115,709,102614,6,60,605,9580,66,10185,"1mill"
8,4,"petite","second",36,636,3601,97866,672,101467,3,62,283,9839,65,10122,"1mill"
8,5,"petite","second",14,652,1615,100948,666,102563,1,65,161,10017,66,10178,"1mill"
8,6,"petite","second",13,653,1345,99701,666,101046,2,60,263,9757,62,10020,"1mill"
8,7,"petite","second",24,654,2352,101610,678,103962,1,54,65,9935,55,10000,"1mill"
