"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
35,2,955,"petite","second-15min",6,42,1080,9070,48,10150,1120,5911,111005,891874,7031,1002879,"Equal Growth Rates"
35,3,960,"petite","second-15min",1,40,263,9781,41,10044,286,6518,27874,990813,6804,1018687,"Equal Growth Rates"
32,1,950,"petite","second-15min",53,33,5104,5250,86,10354,5236,3328,513524,503415,8564,1016939,"Equal Growth Rates"
32,2,960,"petite","second-15min",6,37,1138,8915,43,10053,1219,5976,119904,898789,7195,1018693,"Equal Growth Rates"
50,1,955,"petite","second-15min",55,31,5076,5098,86,10174,5339,3323,523665,499911,8662,1023576,"Equal Growth Rates"
50,2,955,"petite","second-15min",2,39,586,9546,41,10132,603,6200,60779,939929,6803,1000708,"Equal Growth Rates"
43,1,955,"petite","second-15min",48,30,5041,5011,78,10052,5269,3299,520844,494666,8568,1015510,"Equal Growth Rates"
43,2,955,"petite","second-15min",4,41,664,9427,45,10091,685,6138,68399,932308,6823,1000707,"Equal Growth Rates"
44,1,955,"petite","second-15min",47,33,5044,5006,80,10050,5236,3237,524979,492903,8473,1017882,"Equal Growth Rates"
44,2,955,"petite","second-15min",3,40,700,9457,43,10157,723,6147,71822,933759,6870,1005581,"Equal Growth Rates"
10,1,950,"petite","second-15min",53,35,5156,5044,88,10200,5282,3172,521252,484025,8454,1005277,"Equal Growth Rates"
10,2,955,"petite","second-15min",2,42,369,9841,44,10210,376,6445,37982,971545,6821,1009527,"Equal Growth Rates"
17,1,955,"petite","second-15min",55,33,5108,5072,88,10180,5337,3301,523472,501886,8638,1025358,"Equal Growth Rates"
17,2,955,"petite","second-15min",7,44,1188,8959,51,10147,1216,5847,121729,883151,7063,1004880,"Equal Growth Rates"
17,3,960,"petite","second-15min",1,38,200,9909,39,10109,225,6619,21343,1000024,6844,1021367,"Equal Growth Rates"
28,1,955,"petite","second-15min",53,31,5047,5052,84,10099,5260,3298,521744,497310,8558,1019054,"Equal Growth Rates"
28,2,955,"petite","second-15min",4,42,693,9444,46,10137,705,6130,70629,930704,6835,1001333,"Equal Growth Rates"
21,1,955,"petite","second-15min",50,31,5049,5118,81,10167,5265,3360,520426,504362,8625,1024788,"Equal Growth Rates"
21,2,960,"petite","second-15min",5,42,830,9199,47,10029,891,6129,88535,930678,7020,1019213,"Equal Growth Rates"
26,1,950,"petite","second-15min",49,33,5062,5121,82,10183,5183,3230,511773,492613,8413,1004386,"Equal Growth Rates"
26,2,960,"petite","second-15min",3,42,574,9564,45,10138,610,6331,59831,963995,6941,1023826,"Equal Growth Rates"
19,1,950,"petite","second-15min",54,33,5159,5039,87,10198,5313,3193,520931,481435,8506,1002366,"Equal Growth Rates"
19,2,960,"petite","second-15min",7,41,1271,8745,48,10016,1353,5818,134310,887834,7171,1022144,"Equal Growth Rates"
45,1,950,"petite","second-15min",57,31,5149,5196,88,10345,5286,3289,521824,497461,8575,1019285,"Equal Growth Rates"
45,2,960,"petite","second-15min",2,44,321,9697,46,10018,336,6454,33483,979726,6790,1013209,"Equal Growth Rates"
42,1,955,"petite","second-15min",52,33,5006,5130,85,10136,5260,3318,518040,507271,8578,1025311,"Equal Growth Rates"
42,2,960,"petite","second-15min",2,42,353,9755,44,10108,365,6498,36830,983397,6863,1020227,"Equal Growth Rates"
27,1,950,"petite","second-15min",48,29,5138,5131,77,10269,5256,3266,517490,494132,8522,1011622,"Equal Growth Rates"
27,2,960,"petite","second-15min",2,44,352,9769,46,10121,383,6550,37387,985214,6933,1022601,"Equal Growth Rates"
18,1,955,"petite","second-15min",50,31,5003,5033,81,10036,5237,3311,516642,496251,8548,1012893,"Equal Growth Rates"
18,2,955,"petite","second-15min",7,38,1432,8676,45,10108,1477,5580,147972,854184,7057,1002156,"Equal Growth Rates"
20,1,955,"petite","second-15min",50,37,5041,5103,87,10144,5310,3303,520531,500196,8613,1020727,"Equal Growth Rates"
20,2,960,"petite","second-15min",1,44,265,9836,45,10101,266,6569,27445,997600,6835,1025045,"Equal Growth Rates"
16,1,955,"petite","second-15min",50,36,5032,5006,86,10038,5277,3263,521317,491843,8540,1013160,"Equal Growth Rates"
29,1,955,"petite","second-15min",49,32,5014,5021,81,10035,5216,3234,513742,495321,8450,1009063,"Equal Growth Rates"
29,2,960,"petite","second-15min",4,41,748,9254,45,10002,784,6194,79109,936250,6978,1015359,"Equal Growth Rates"
11,1,950,"petite","second-15min",55,34,5069,5146,89,10215,5187,3294,508373,495368,8481,1003741,"Equal Growth Rates"
11,2,955,"petite","second-15min",5,39,878,9289,44,10167,935,6120,91878,916778,7055,1008656,"Equal Growth Rates"
11,3,955,"petite","second-15min",1,39,157,10104,40,10261,169,6511,16574,990912,6680,1007486,"Equal Growth Rates"
38,1,890,"petite","second",53,34,5004,5028,87,10032,3774,4169,368368,637802,7943,1006170,"Normal"
38,2,870,"petite","second",30,44,3015,7100,74,10115,2166,5291,214737,803574,7457,1018311,"Normal"
38,3,865,"petite","second",19,54,1861,8173,73,10034,1319,5878,130368,897112,7197,1027480,"Normal"
38,4,855,"petite","second",10,54,842,9197,64,10039,556,6302,55718,954873,6858,1010591,"Normal"
38,5,855,"petite","second",3,65,301,9706,68,10007,202,6649,20095,1008065,6851,1028160,"Normal"
38,6,850,"petite","second",2,57,143,9916,59,10059,88,6627,9302,1001607,6715,1010909,"Normal"
8,1,890,"petite","second",51,33,5071,5094,84,10165,3816,4264,374832,646711,8080,1021543,"Normal"
8,2,870,"petite","second",31,44,3248,6761,75,10009,2369,5060,235153,767133,7429,1002286,"Normal"
8,3,860,"petite","second",16,57,1729,8385,73,10114,1200,5882,119178,896400,7082,1015578,"Normal"
8,4,850,"petite","second",6,60,605,9580,66,10185,380,6339,38429,967095,6719,1005524,"Normal"
8,5,850,"petite","second",3,62,283,9839,65,10122,180,6471,18102,990540,6651,1008642,"Normal"
8,6,850,"petite","second",1,65,161,10017,66,10178,100,6556,10165,1006280,6656,1016445,"Normal"
8,7,855,"petite","second",2,60,263,9757,62,10020,173,6604,17487,1006932,6777,1024419,"Normal"
8,8,850,"petite","second",1,54,65,9935,55,10000,49,6579,4442,1001291,6628,1005733,"Normal"
8,9,850,"petite","second",1,64,141,9921,65,10062,86,6565,8849,997480,6651,1006329,"Normal"
8,10,850,"petite","second",3,64,235,9820,67,10055,145,6529,15573,992365,6674,1007938,"Normal"
39,1,890,"petite","second",52,32,5101,5160,84,10261,3853,4289,375056,652134,8142,1027190,"Normal"
39,2,870,"petite","second",26,47,2602,7417,73,10019,1876,5502,186046,839637,7378,1025683,"Normal"
39,3,860,"petite","second",20,50,1784,8346,70,10130,1226,5816,121266,890616,7042,1011882,"Normal"
39,4,860,"petite","second",14,52,1431,8653,66,10084,963,6033,97179,925782,6996,1022961,"Normal"
39,5,855,"petite","second",8,54,909,9247,62,10156,610,6257,60924,959494,6867,1020418,"Normal"
39,6,850,"petite","second",2,59,261,9927,61,10188,171,6541,17092,997676,6712,1014768,"Normal"
39,7,850,"petite","second",2,63,183,9872,65,10055,118,6474,11998,995381,6592,1007379,"Normal"
23,1,885,"petite","second",53,36,5109,5144,89,10253,3776,4171,368874,636078,7947,1004952,"Normal"
23,2,875,"petite","second",26,45,3265,6740,71,10005,2431,5083,240842,781837,7514,1022679,"Normal"
23,3,860,"petite","second",16,43,1817,8210,59,10027,1234,5701,124258,875833,6935,1000091,"Normal"
23,4,855,"petite","second",7,53,680,9407,60,10087,457,6417,44671,975522,6874,1020193,"Normal"
23,5,850,"petite","second",4,57,426,9751,61,10177,268,6396,27257,983355,6664,1010612,"Normal"
23,6,850,"petite","second",1,62,118,9917,63,10035,81,6534,7666,1000165,6615,1007831,"Normal"
5,1,885,"petite","second",50,30,5020,5191,80,10211,3676,4178,362233,639631,7854,1001864,"Normal"
5,2,870,"petite","second",26,38,2874,7191,64,10065,2086,5280,206780,812449,7366,1019229,"Normal"
5,3,860,"petite","second",19,53,1984,8123,72,10107,1378,5724,134911,870152,7102,1005063,"Normal"
5,4,860,"petite","second",12,54,1443,8614,66,10057,992,6018,99051,919869,7010,1018920,"Normal"
5,5,850,"petite","second",4,56,517,9552,60,10069,332,6326,33190,969418,6658,1002608,"Normal"
5,6,850,"petite","second",1,60,69,10087,61,10156,47,6675,4626,1018710,6722,1023336,"Normal"
16,1,890,"petite","second",55,32,5061,5010,87,10071,3833,4198,371924,638834,8031,1010758,"Normal"
16,2,870,"petite","second",28,41,3252,6861,69,10113,2316,5106,231207,777909,7422,1009116,"Normal"
16,3,855,"petite","second",8,57,774,9262,65,10036,497,6342,50599,965314,6839,1015913,"Normal"
16,4,850,"petite","second",5,68,443,9724,73,10167,295,6403,29130,979768,6698,1008898,"Normal"
16,5,850,"petite","second",3,58,340,9697,61,10037,210,6331,22325,978362,6541,1000687,"Normal"
16,6,850,"petite","second",1,62,266,9787,63,10053,174,6448,17314,984866,6622,1002180,"Normal"
35,1,890,"petite","second",50,34,5033,5034,84,10067,3798,4141,371836,636513,7939,1008349,"Normal"
35,2,870,"petite","second",31,40,3008,7014,71,10022,2207,5179,214720,790868,7386,1005588,"Normal"
35,3,855,"petite","second",11,47,1123,9046,58,10169,744,6188,74356,940603,6932,1014959,"Normal"
35,4,855,"petite","second",5,60,505,9514,65,10019,352,6539,33695,988988,6891,1022683,"Normal"
35,5,855,"petite","second",4,64,447,9566,68,10013,303,6550,29957,997135,6853,1027092,"Normal"
14,1,890,"petite","second",53,35,5030,5092,88,10122,3760,4301,372121,646140,8061,1018261,"Normal"
14,2,870,"petite","second",28,43,2806,7251,71,10057,2045,5385,201681,820455,7430,1022136,"Normal"
14,3,855,"petite","second",11,54,1189,9035,65,10224,781,6218,78769,941123,6999,1019892,"Normal"
14,4,850,"petite","second",4,56,517,9700,60,10217,343,6387,34001,977582,6730,1011583,"Normal"
