"sim_number","number_divisions","minutes","experiment","experiment_name"
1,1,135.7922,"slow_first_div","Slow First Division"
1,7,90.1444,"slow_first_div","Slow First Division"
1,1,126.3914,"slow_first_div","Slow First Division"
1,2,91.0962,"slow_first_div","Slow First Division"
1,1,124.6048,"slow_first_div","Slow First Division"
1,2,92.9017,"slow_first_div","Slow First Division"
1,1,115.5291,"slow_first_div","Slow First Division"
1,3,108.6936,"slow_first_div","Slow First Division"
1,1,114.1543,"slow_first_div","Slow First Division"
1,3,83.2886,"slow_first_div","Slow First Division"
1,1,124.0045,"slow_first_div","Slow First Division"
1,2,83.8399,"slow_first_div","Slow First Division"
1,1,134.1642,"slow_first_div","Slow First Division"
1,3,89.869,"slow_first_div","Slow First Division"
1,1,104.7909,"slow_first_div","Slow First Division"
1,3,73.9421,"slow_first_div","Slow First Division"
1,1,120.1873,"slow_first_div","Slow First Division"
1,4,84.2854,"slow_first_div","Slow First Division"
1,1,124.5256,"slow_first_div","Slow First Division"
1,3,97.578,"slow_first_div","Slow First Division"
1,1,105.5583,"slow_first_div","Slow First Division"
1,4,93.5063,"slow_first_div","Slow First Division"
1,1,97.6724,"slow_first_div","Slow First Division"
1,3,90.1772,"slow_first_div","Slow First Division"
1,1,116.298,"slow_first_div","Slow First Division"
1,2,87.3845,"slow_first_div","Slow First Division"
1,1,118.7048,"slow_first_div","Slow First Division"
1,5,87.1303,"slow_first_div","Slow First Division"
1,1,124.8202,"slow_first_div","Slow First Division"
1,2,87.0953,"slow_first_div","Slow First Division"
1,1,117.4407,"slow_first_div","Slow First Division"
1,2,77.3376,"slow_first_div","Slow First Division"
1,1,118.0094,"slow_first_div","Slow First Division"
1,2,95.2558,"slow_first_div","Slow First Division"
1,1,127.5671,"slow_first_div","Slow First Division"
1,6,93.2309,"slow_first_div","Slow First Division"
1,1,115.9538,"slow_first_div","Slow First Division"
1,2,83.4144,"slow_first_div","Slow First Division"
1,1,113.9411,"slow_first_div","Slow First Division"
1,2,88.0687,"slow_first_div","Slow First Division"
1,1,108.8663,"slow_first_div","Slow First Division"
1,2,90.5416,"slow_first_div","Slow First Division"
1,1,101.4776,"slow_first_div","Slow First Division"
1,8,88.7267,"slow_first_div","Slow First Division"
1,1,108.8896,"slow_first_div","Slow First Division"
1,2,91.8782,"slow_first_div","Slow First Division"
1,1,132.512,"slow_first_div","Slow First Division"
1,2,88.5379,"slow_first_div","Slow First Division"
1,1,136.0169,"slow_first_div","Slow First Division"
1,3,78.2456,"slow_first_div","Slow First Division"
1,1,122.6665,"slow_first_div","Slow First Division"
1,2,86.5237,"slow_first_div","Slow First Division"
1,1,112.6412,"slow_first_div","Slow First Division"
1,2,90.2778,"slow_first_div","Slow First Division"
1,1,107.0381,"slow_first_div","Slow First Division"
1,6,85.3676,"slow_first_div","Slow First Division"
1,1,122.4773,"slow_first_div","Slow First Division"
1,2,91.5966,"slow_first_div","Slow First Division"
1,1,123.0201,"slow_first_div","Slow First Division"
1,2,86.1815,"slow_first_div","Slow First Division"
1,1,111.9133,"slow_first_div","Slow First Division"
1,3,89.9413,"slow_first_div","Slow First Division"
1,1,126.7666,"slow_first_div","Slow First Division"
1,5,89.929,"slow_first_div","Slow First Division"
1,1,113.7331,"slow_first_div","Slow First Division"
1,5,83.508,"slow_first_div","Slow First Division"
1,1,98.0355,"slow_first_div","Slow First Division"
1,4,85.1878,"slow_first_div","Slow First Division"
1,1,139.2026,"slow_first_div","Slow First Division"
1,2,96.9861,"slow_first_div","Slow First Division"
1,1,139.8974,"slow_first_div","Slow First Division"
1,2,106.2161,"slow_first_div","Slow First Division"
1,1,129.2565,"slow_first_div","Slow First Division"
1,2,90.8985,"slow_first_div","Slow First Division"
1,1,125.2662,"slow_first_div","Slow First Division"
1,3,95.5359,"slow_first_div","Slow First Division"
1,1,120.0843,"slow_first_div","Slow First Division"
1,7,78.6259,"slow_first_div","Slow First Division"
1,1,116.9644,"slow_first_div","Slow First Division"
1,3,96.6031,"slow_first_div","Slow First Division"
1,1,127.3144,"slow_first_div","Slow First Division"
1,4,84.5159,"slow_first_div","Slow First Division"
1,1,115.3536,"slow_first_div","Slow First Division"
1,5,87.794,"slow_first_div","Slow First Division"
1,1,105.3061,"slow_first_div","Slow First Division"
1,3,77.0362,"slow_first_div","Slow First Division"
1,1,135.606,"slow_first_div","Slow First Division"
1,4,99.2522,"slow_first_div","Slow First Division"
1,1,136.0118,"slow_first_div","Slow First Division"
1,3,94.0926,"slow_first_div","Slow First Division"
1,1,121.0243,"slow_first_div","Slow First Division"
1,4,90.1871,"slow_first_div","Slow First Division"
1,1,130.376,"slow_first_div","Slow First Division"
1,2,88.603,"slow_first_div","Slow First Division"
1,1,139.3497,"slow_first_div","Slow First Division"
1,2,91.6636,"slow_first_div","Slow First Division"
1,1,115.9723,"slow_first_div","Slow First Division"
1,4,85.4784,"slow_first_div","Slow First Division"
1,1,131.5917,"slow_first_div","Slow First Division"
