"sim_number","generation","diameter","experiment","experiment_name"
1,45,11,"slow_first_div","Slow First Division"
1,46,11,"slow_first_div","Slow First Division"
1,47,11,"slow_first_div","Slow First Division"
1,48,11,"slow_first_div","Slow First Division"
1,49,11,"slow_first_div","Slow First Division"
1,50,11,"slow_first_div","Slow First Division"
1,51,11,"slow_first_div","Slow First Division"
1,52,11,"slow_first_div","Slow First Division"
1,53,11,"slow_first_div","Slow First Division"
1,54,11,"slow_first_div","Slow First Division"
1,55,10,"slow_first_div","Slow First Division"
1,56,11,"slow_first_div","Slow First Division"
1,57,11,"slow_first_div","Slow First Division"
1,58,12,"slow_first_div","Slow First Division"
1,59,11,"slow_first_div","Slow First Division"
1,60,11,"slow_first_div","Slow First Division"
1,61,11,"slow_first_div","Slow First Division"
1,62,11,"slow_first_div","Slow First Division"
1,63,11,"slow_first_div","Slow First Division"
1,64,11,"slow_first_div","Slow First Division"
1,65,11,"slow_first_div","Slow First Division"
1,66,11,"slow_first_div","Slow First Division"
1,67,11,"slow_first_div","Slow First Division"
1,68,11,"slow_first_div","Slow First Division"
1,69,11,"slow_first_div","Slow First Division"
1,70,11,"slow_first_div","Slow First Division"
1,71,11,"slow_first_div","Slow First Division"
1,72,11,"slow_first_div","Slow First Division"
1,73,11,"slow_first_div","Slow First Division"
1,74,11,"slow_first_div","Slow First Division"
1,75,11,"slow_first_div","Slow First Division"
1,76,11,"slow_first_div","Slow First Division"
1,77,11,"slow_first_div","Slow First Division"
1,78,11,"slow_first_div","Slow First Division"
1,79,11,"slow_first_div","Slow First Division"
1,80,11,"slow_first_div","Slow First Division"
1,81,11,"slow_first_div","Slow First Division"
1,82,11,"slow_first_div","Slow First Division"
1,83,11,"slow_first_div","Slow First Division"
1,84,11,"slow_first_div","Slow First Division"
1,85,11,"slow_first_div","Slow First Division"
1,86,11,"slow_first_div","Slow First Division"
1,87,12,"slow_first_div","Slow First Division"
1,88,12,"slow_first_div","Slow First Division"
1,89,11,"slow_first_div","Slow First Division"
1,90,12,"slow_first_div","Slow First Division"
1,91,12,"slow_first_div","Slow First Division"
1,92,11,"slow_first_div","Slow First Division"
1,93,12,"slow_first_div","Slow First Division"
1,94,11,"slow_first_div","Slow First Division"
1,95,11,"slow_first_div","Slow First Division"
1,96,11,"slow_first_div","Slow First Division"
1,97,11,"slow_first_div","Slow First Division"
1,98,11,"slow_first_div","Slow First Division"
1,99,11,"slow_first_div","Slow First Division"
1,100,11,"slow_first_div","Slow First Division"
1,101,11,"slow_first_div","Slow First Division"
2,0,11,"slow_first_div","Slow First Division"
2,1,11,"slow_first_div","Slow First Division"
2,2,11,"slow_first_div","Slow First Division"
2,3,11,"slow_first_div","Slow First Division"
2,4,11,"slow_first_div","Slow First Division"
2,5,11,"slow_first_div","Slow First Division"
2,6,11,"slow_first_div","Slow First Division"
2,7,11,"slow_first_div","Slow First Division"
2,8,12,"slow_first_div","Slow First Division"
2,9,11,"slow_first_div","Slow First Division"
2,10,11,"slow_first_div","Slow First Division"
2,11,11,"slow_first_div","Slow First Division"
2,12,11,"slow_first_div","Slow First Division"
2,13,11,"slow_first_div","Slow First Division"
2,14,11,"slow_first_div","Slow First Division"
2,15,11,"slow_first_div","Slow First Division"
2,16,12,"slow_first_div","Slow First Division"
2,17,11,"slow_first_div","Slow First Division"
2,18,11,"slow_first_div","Slow First Division"
