"Area","Mean","StdDev","Min","Max","X","Y","Perim.","Major","Minor","Angle","Circ.","IntDen","Median","X.Area","RawIntDen","Slice","AR","Round","Solidity","group_id","num_cells","date","strain","replicate","image_num"
138.2713,255,0,255,255,320.95567,244.11872,51.53684,14.69511,11.98035,118.23883,0.65419,35259.18087,255,100,1673565,1,1.2266,0.81526,0.88017,"8",4,"2025may19","grande","1","005"
132.33004,255,0,255,255,673.6,249.42659,46.64553,15.5851,10.81083,154.88918,0.76427,33744.15893,255,100,1601655,1,1.44162,0.69366,0.93488,"9",3,"2025may19","grande","1","005"
8018.34475,255,0,255,255,596.49651,389.82184,551.80009,108.27713,94.28836,58.96118,0.33093,2044677.91105,255,100,97049940,1,1.14836,0.87081,0.86774,"10",312,"2025may19","grande","1","005"
7806.67147,255,0,255,255,348.63196,401.77852,587.98528,116.59151,85.25288,122.12061,0.28375,1990701.22505,255,100,94487955,1,1.3676,0.73121,0.82414,"11",302,"2025may19","grande","1","005"
110.29259,255,0,255,255,628.46727,51.46434,41.56957,13.88689,10.11234,128.16825,0.80206,28124.60946,255,100,1334925,1,1.37326,0.72819,0.94138,"1",2,"2025may19","grande","1","006"
77.32069,255,0,255,255,424.43023,83.07058,34.71057,12.44024,7.91365,71.48568,0.80646,19716.77492,255,100,935850,1,1.572,0.63613,0.9482,"2",2,"2025may19","grande","1","006"
115.83355,255,0,255,255,340.84451,118.53739,44.39358,14.79528,9.9683,55.78559,0.73859,29537.55545,255,100,1401990,1,1.48423,0.67375,0.91955,"3",3,"2025may19","grande","1","006"
124.21874,255,0,255,255,131.5716,127.75269,46.8508,16.96378,9.3234,60.7038,0.71115,31675.77791,255,100,1503480,1,1.81948,0.54961,0.92197,"4",2,"2025may19","grande","1","006"
94.2596,255,0,255,255,266.46967,132.0723,39.33221,14.68968,8.17002,66.58667,0.76566,24036.19918,255,100,1140870,1,1.798,0.55617,0.94229,"5",2,"2025may19","grande","1","006"
184.43196,255,0,255,255,269.29928,165.90713,60.06115,18.33061,12.8106,20.49284,0.64248,47030.14923,255,100,2232270,1,1.43089,0.69886,0.9088,"6",4,"2025may19","grande","1","006"
4416.7177,255,0,255,255,216.21716,205.32495,397.4034,88.49912,63.54345,64.09572,0.35144,1126263.01385,255,100,53457690,1,1.39273,0.71801,0.80463,"7",166,"2025may19","grande","1","006"
89.58244,255,0,255,255,676.13221,200.30246,38.71035,13.6092,8.38109,74.04966,0.75124,22843.52233,255,100,1084260,1,1.6238,0.61584,0.93646,"8",2,"2025may19","grande","1","006"
91.1415,255,0,255,255,606.73248,207.68946,38.51967,13.94625,8.32087,74.24511,0.7719,23241.08128,255,100,1103130,1,1.67606,0.59664,0.94392,"9",2,"2025may19","grande","1","006"
50.66928,255,0,255,255,160.03895,240.95733,27.34745,8.15665,7.90939,133.06726,0.85138,12920.66585,255,100,613275,1,1.03126,0.96969,0.94816,"10",1,"2025may19","grande","1","006"
4045.24132,255,0,255,255,346.41903,302.20414,364.95936,76.82191,67.04547,44.10642,0.38165,1031536.53554,255,100,48961530,1,1.14582,0.87274,0.8444,"11",164,"2025may19","grande","1","006"
152.36599,255,0,255,255,148.26166,354.40991,49.70398,15.15225,12.80328,36.20839,0.77502,38853.32867,255,100,1844160,1,1.18347,0.84498,0.93794,"12",3,"2025may19","grande","1","006"
220.60624,255,0,255,255,275.49045,38.90157,70.19242,20.02357,14.0277,17.54592,0.56266,56254.59133,255,100,2670105,1,1.42743,0.70056,0.86566,"1",4,"2025may19","grande","1","008"
138.98762,255,0,255,255,357.31772,48.37414,56.27268,16.39822,10.79169,44.43087,0.55156,35441.84309,255,100,1682235,1,1.51952,0.6581,0.84936,"2",2,"2025may19","grande","1","008"
9836.11826,255,0,255,255,99.97106,153.07696,655.3316,124.32661,100.73254,117.65579,0.28781,2508210.15632,255,100,119051340,1,1.23422,0.81023,0.83042,"3",380,"2025may19","grande","1","008"
71.08447,255,0,255,255,449.33435,196.81314,31.92783,10.35751,8.73835,65.8331,0.87629,18126.53912,255,100,860370,1,1.18529,0.84367,0.96496,"5",1,"2025may19","grande","1","008"
79.44858,255,0,255,255,536.51409,214.48536,35.27658,10.49991,9.63409,26.30089,0.80227,20259.38916,255,100,961605,1,1.08987,0.91754,0.94251,"6",1,"2025may19","grande","1","008"
260.13038,255,0,255,255,208.76087,227.55245,74.83469,23.24367,14.2494,84.35995,0.58371,66333.24794,255,100,3148485,1,1.6312,0.61304,0.87332,"7",5,"2025may19","grande","1","008"
10994.53804,255,0,255,255,582.9949,281.84224,690.20869,130.0952,107.60336,11.43102,0.29002,2803607.20053,255,100,133072260,1,1.20903,0.82711,0.85746,"8",392,"2025may19","grande","1","008"
