LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,DELTA_T,DISTANCE,MEAN_VELOCITY,FIRST,LAST,best_ellipse_angle,best_ellipse_id,ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX,date,strain,strain_date,complete_id,cell_death,timepoint,strain_timepoint,strain_timepoint_date,id_file,big_clust,cell_id,division_number,mother_cell_id,budd_angle,mother_delta_t,max_num_div,TOTAL_DISTANCE,MEAN_SUCCESSORS_DELAY,MEAN_PREDECESSORS_DELAY
Track_28: ID63014 → ID63092,28,1,2,5100.0,0.6746973855080517,0.3712031048433168,63014,63092,NA,NA,63092,-1.0,74.93745688372331,64.64717605154806,0.0,27300.0,91,2.966156259052421,1,,4969.830159939071,4988.0,2943.0,6982.0,6525387.0,834.6695678191126,-0.1038001764407146,-1.3792728937364718,0.0,0.0,2.966156259052421,2.966156259052421,0.0,1.0,27.63999277118236,18.63690942567694,1.0,1.0,3.544907701811032,2023jan26,PA5,PA5_2023jan26,PA5_t600_7_2023jan26,NA,t600,PA5_t600,PA5_t600_2023jan26,2023jan26_gob2350_7,False,PA5_t600_7_2023jan26_0011,0,PA5_t600_7_2023jan26_0003_4,NA,5700.0,3,,,
Track_28: ID62318 → ID19740,28,1,2,5400.0,6.252259799516601,0.4247592905326279,62318,19740,29.74003845510255,19740,19740,3322.0,83.45826512468163,75.45987308644678,0.0,28800.0,96,4.726892588060295,1,,5075.928249774843,5060.0,3613.0,7927.0,16907917.0,818.1041380754929,-0.9698970272970024,-399.8095137694719,0.0147192062319691,-0.002971925601507,6.381926413667986,3.5388658591881663,0.5190614051135083,1.8033818368950645,70.19421798969294,32.457291818327704,0.8373107049932235,0.9840236686390536,3.8740177850296265,2023jan26,PA5,PA5_2023jan26,PA5_t600_7_2023jan26,NA,t600,PA5_t600,PA5_t600_2023jan26,2023jan26_gob2350_7,False,PA5_t600_7_2023jan26_0014,0,PA5_t600_7_2023jan26_0004_3,NA,6600.0,1,,,
Track_28: ID62757 → ID19765,28,1,2,6900.0,3.4037453895532552,0.2326354822640994,62757,19765,123.42417209176749,19765,19765,2754.0,46.75262445477119,89.76999575036106,0.0,29100.0,97,4.307511527633804,1,,4803.135672937771,4731.0,3385.0,7037.0,13275867.0,641.9707420366373,-0.969648519317618,-478.0508230757575,-0.0084232001868124,0.0533183842430603,6.581126463013037,2.830408206323113,2.15415740929994,2.325150997057896,58.29116959937818,31.666609126155382,0.7304819861457593,0.9770074283692964,4.147631619936556,2023jan26,PA5,PA5_2023jan26,PA5_t600_7_2023jan26,NA,t600,PA5_t600,PA5_t600_2023jan26,2023jan26_gob2350_7,False,PA5_t600_7_2023jan26_0012,0,PA5_t600_7_2023jan26_0008_1,NA,5700.0,2,,,
Track_28: ID62768 → ID19788,28,1,2,6900.0,4.787767390832836,0.2863675424480448,62768,19788,16.60117004104653,19788,19788,2453.0,54.07065885950244,69.2087911055162,0.0,29400.0,98,4.064375975758541,1,,5147.685365853658,5260.0,2434.0,8516.0,12663306.0,1087.9295285067033,-0.9680482383379956,-286.71038007085167,0.0063245419026174,0.0312680392753723,4.913473303573493,3.393264546149913,0.2897449732972841,1.4480077331867476,51.896446793943134,27.253276633993195,0.8780313828624184,0.9859663191659984,3.783118216954516,2023jan26,PA5,PA5_2023jan26,PA5_t600_7_2023jan26,NA,t600,PA5_t600,PA5_t600_2023jan26,2023jan26_gob2350_7,False,PA5_t600_7_2023jan26_0013,0,PA5_t600_7_2023jan26_0006_2,NA,6000.0,2,,,
Track_28: ID62358 → ID62364,28,1,0,600.0,1.347710234452754,0.6785356611971587,62358,62364,NA,NA,62364,-1.0,90.50604647216728,77.7218858147825,0.0,29700.0,99,2.094508941503458,1,,5065.529680365296,4929.0,3854.0,7401.0,3328053.0,857.5655415391968,-0.1407746152131611,-1.935551751531204,0.0,0.0,2.094508941503458,2.094508941503458,0.0,1.0,13.782065516824447,13.160187807010796,1.0000000000000002,1.0,3.544907701811032,2023jan26,PA5,PA5_2023jan26,PA5_t600_7_2023jan26,NA,t600,PA5_t600,PA5_t600_2023jan26,2023jan26_gob2350_7,False,PA5_t600_7_2023jan26_0019,0,PA5_t600_7_2023jan26_0014_1,NA,5400.0,0,,,
Track_28: ID19529 → ID19770,28,1,2,7500.0,3.246620868057476,0.2069076968102052,19529,19770,126.67345222313439,19770,19770,2988.0,53.7725502398125,78.75885383218507,0.0,29700.0,99,4.470896215433044,1,,5193.402148371937,5212.0,3721.0,8078.0,15471145.0,681.6449453391867,-0.9670811000230416,-447.652806731464,0.055007820981745,0.1095266530478394,6.679244754905198,3.159002263431124,2.210868025634242,2.1143526334959293,62.79702213720124,32.37049148446405,0.7530959759612365,0.9812036273701568,4.084884378844171,2023jan26,PA5,PA5_2023jan26,PA5_t600_7_2023jan26,NA,t600,PA5_t600,PA5_t600_2023jan26,2023jan26_gob2350_7,False,PA5_t600_7_2023jan26_0008,1,PA5_t600_7_2023jan26_0008_1,1.6491263368380231,5700.0,3,,,
Track_28: ID19634 → ID19784,28,1,0,7500.0,4.624518241883126,0.3516625996617297,19634,19784,145.48789497310005,19753,19784,1980.0,63.91042827173034,66.76678861311562,0.0,30000.0,100,3.6558349717043184,1,,5502.723756906077,5551.0,3815.0,7429.0,10955923.0,628.173985303602,-0.9650224301458064,-483.3653727346509,0.0418525593914309,0.0459923273795355,5.647888400123534,2.393736960961879,2.5478039991983663,2.359444037599701,41.98779214987796,30.12101819502525,0.581558765274199,0.8953645364536453,4.648449627244319,2023jan26,PA5,PA5_2023jan26,PA5_t600_7_2023jan26,NA,t600,PA5_t600,PA5_t600_2023jan26,2023jan26_gob2350_7,False,PA5_t600_7_2023jan26_0006,2,PA5_t600_7_2023jan26_0006_2,51.35038190392123,6000.0,2,,,
Track_28: ID19570 → ID19803,28,1,0,6300.0,3.612569522534164,0.3401981935948404,19570,19803,142.4101180713542,19803,19803,1451.0,68.01076753520594,74.75732378025289,0.0,30300.0,101,3.122110842202232,1,,6331.223829201102,6461.0,2882.0,9182.0,9192937.0,1253.575393380352,-0.956492182421097,-222.06562187072475,0.0747208189894602,-0.0685770241545779,3.8814587590819416,2.5784627398586366,-0.6560669705047456,1.5053383161529577,30.6229135006147,21.785528796883263,0.8108119852501358,0.9571240105540898,3.9368135983959625,2023jan26,PA5,PA5_2023jan26,PA5_t600_7_2023jan26,NA,t600,PA5_t600,PA5_t600_2023jan26,2023jan26_gob2350_7,False,PA5_t600_7_2023jan26_0009,1,PA5_t600_7_2023jan26_0009_1,83.82265569982992,7200.0,1,,,
Track_28: ID62344 → ID62396,28,1,2,6300.0,8.229108506501333,1.0626794371631731,62344,62396,179.63086169382092,19850,62396,-1.0,99.91257377404985,100.27576015636193,0.0,31500.0,105,2.966156259052421,1,,4561.716679360244,4539.0,3646.0,6114.0,5989534.0,511.89731413342446,-0.163607952556461,-3.4863418421366665,0.0,0.0,2.966156259052421,2.966156259052421,0.0,1.0,27.63999277118236,18.63690942567694,1.0,1.0,3.544907701811032,2023jan26,PA5,PA5_2023jan26,PA5_t600_7_2023jan26,NA,t600,PA5_t600,PA5_t600_2023jan26,2023jan26_gob2350_7,False,PA5_t600_7_2023jan26_0016,0,PA5_t600_7_2023jan26_0010_1,48.68990914118467,8400.0,3,,,
Track_28: ID19849 → ID19880,28,1,2,6300.0,2.156194702893637,0.2112701357927259,19849,19880,48.59521100294562,19880,19880,3933.0,85.72631966226528,94.76645405483924,0.0,31500.0,105,5.147016184033356,1,,5434.881622306717,5497.0,3713.0,7907.0,21440608.0,736.264341770593,-0.966497365685372,-425.90038718099424,0.0164682625568885,-0.0346862575800589,7.42704128019531,3.567205024204364,0.8481461294361126,2.082033757465861,83.22636760142932,36.9042057150685,0.767925482708874,0.9761138613861386,4.045250239961221,2023jan26,PA5,PA5_2023jan26,PA5_t600_7_2023jan26,NA,t600,PA5_t600,PA5_t600_2023jan26,2023jan26_gob2350_7,False,PA5_t600_7_2023jan26_0010,1,PA5_t600_7_2023jan26_0010_1,NA,8400.0,3,,,
