"","LABEL","TRACK_ID","N_PREDECESSORS","N_SUCCESSORS","DELTA_T","DISTANCE","MEAN_VELOCITY","FIRST","LAST","best_ellipse_angle","best_ellipse_id","ID","QUALITY","POSITION_X","POSITION_Y","POSITION_Z","POSITION_T","FRAME","RADIUS","VISIBILITY","MANUAL_SPOT_COLOR","MEAN_INTENSITY_CH1","MEDIAN_INTENSITY_CH1","MIN_INTENSITY_CH1","MAX_INTENSITY_CH1","TOTAL_INTENSITY_CH1","STD_INTENSITY_CH1","CONTRAST_CH1","SNR_CH1","ELLIPSE_X0","ELLIPSE_Y0","ELLIPSE_MAJOR","ELLIPSE_MINOR","ELLIPSE_THETA","ELLIPSE_ASPECTRATIO","AREA","PERIMETER","CIRCULARITY","SOLIDITY","SHAPE_INDEX","date","strain","strain_date","complete_id","cell_death","timepoint","strain_timepoint","strain_timepoint_date","id_file","big_clust","cell_id","division_number","mother_cell_id","budd_angle","mother_delta_t","max_num_div","TOTAL_DISTANCE","MEAN_SUCCESSORS_DELAY","MEAN_PREDECESSORS_DELAY","minutes","hours","mother_delta_hours","transfer","unique_id_branch"
"21","Track_106: ID10702 → ID10839",106,1,0,3300,1.04690434159822,0.407953236597736,10702,10839,49.0151230468992,10814,10839,1988,97.0524573110146,69.4860792293906,0,23700,79,3.68843955341061,1,NA,10755.3771399799,10527,8760,15473,21360179,1078.2713875225,-0.961976837721461,-504.712360015788,0.0237154482588347,0.070924246424389,4.29264300298573,3.25745734919374,0.722770174688569,1.31778947283783,42.7400684982453,26.9191210057704,0.741179379949867,0.92760392340028,4.11759158576254,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0007","2","PA3_t400_6_2023jan12_0007_1",5.6248795828449,5700,1,NA,NA,NA,55,0.916666666666667,1.58333333333333,400,"PA3_t400_6_2023jan12_106"
"22","Track_0: ID15576 → ID10865",0,1,2,6600,3.12420827799992,0.635641220242133,15576,10865,35.6988827012589,10858,10865,2157,64.9775712015884,61.0755387938187,0,24900,83,3.83592570448573,1,NA,12685.8064965197,12647,10440,15024,27337913,907.578474423703,-0.957639847632646,-631.987642786414,0.0224327347539574,-0.0109818802780379,4.89690931886015,3.08703706937608,0.677802998867017,1.58628134642059,46.2264184965916,26.8962816374906,0.803000144269919,0.946672542970472,3.95591653881456,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0010","1","PA3_t400_6_2023jan12_0005_1",10.6125726801626,6900,1,NA,NA,NA,110,1.83333333333333,1.91666666666667,400,"PA3_t400_6_2023jan12_0"
"23","Track_106: ID15357 → ID10887",106,1,2,4500,3.47278614708151,0.339791123360823,15357,10887,88.1774584923757,10887,10887,2153,103.070500627838,68.4850194092487,0,24900,83,3.84751597707187,1,NA,11789.4486111111,11679,9226,15387,25465209,1313.61060897194,-0.956954026889293,-399.039039480257,-0.0408857093545202,0.0431333934385055,4.85627406201088,3.15725761253284,1.53898642644619,1.53813044673129,46.5061873236194,25.8772729536847,0.872737399094711,0.989468864468864,3.79457497723037,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0016","1","PA3_t400_6_2023jan12_0006_2",42.4973219207328,5700,1,NA,NA,NA,75,1.25,1.58333333333333,400,"PA3_t400_6_2023jan12_106"
"24","Track_180: ID15960 → ID11000",180,1,2,5100,6.13949579017457,2.0800918401994,15960,11000,168.903930490581,11000,11000,1930,131.079525040013,80.8738594820458,0,24900,83,3.63323848529402,1,NA,10829.0439730988,10669,8787,13345,20932542,811.911612487386,-0.961048785582775,-658.16652752387,0.0156115676914274,0.0067515429481586,4.35400511395196,3.0766789380008,2.94792865254663,1.41516394842978,41.4703484371192,24.2616808559085,0.885331215631378,0.983163265306122,3.7674894377752,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0013","1","PA3_t400_6_2023jan12_0012_1",NA,0,1,NA,NA,NA,85,1.41666666666667,0,400,"PA3_t400_6_2023jan12_180"
"25","Track_63: ID10710 → ID11177",63,1,2,5100,0.608859758436811,0.2612706625137,10710,11177,106.545601485948,11177,11177,2433,113.927700364126,108.036221373915,0,25200,84,4.07702332719152,1,NA,12435.5674897119,12338,8709,16383,30218429,1406.6244825555,-0.956783071988861,-391.450653642188,0.0264045175661671,0.0737505706319704,5.28466470902671,3.29248617806493,-1.28202064573759,1.60506815312817,52.2199275986869,28.868689512803,0.787393798739151,0.96175188267935,3.99492782029714,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0004","3","PA3_t400_6_2023jan12_0004_2",46.4156648082549,5400,4,NA,NA,NA,85,1.41666666666667,1.5,400,"PA3_t400_6_2023jan12_63"
"26","Track_0: ID10657 → ID10874",0,1,2,6900,1.17311476475094,0.41323908723237,10657,10874,29.4020161097305,10874,10874,1653,71.1604118067007,66.3392604106094,0,25200,84,3.35994100669196,1,NA,11745.7612393682,11738,9239,14289,19333523,795.188698970794,-0.959316114641228,-696.594887634548,0.0154357584384321,-0.0153197893272825,4.24414846874673,2.71021543683108,0.513161804350939,1.565981955187,35.4660789955228,22.8455921372458,0.853922000639064,0.975147928994083,3.83615220866772,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0005","2","PA3_t400_6_2023jan12_0005_1",NA,6900,2,NA,NA,NA,115,1.91666666666667,1.91666666666667,400,"PA3_t400_6_2023jan12_0"
"27","Track_63: ID14785 → ID11181",63,1,2,5100,3.63437252160507,0.363729281914257,14785,11181,52.6015183757732,11181,11181,1851,116.392084752467,115.293794820219,0,25200,84,3.56711786623314,1,NA,12331.6510500808,12439,9274,14967,22899876,1272.07187048751,-0.957747297560205,-439.476864703772,-0.0672508582126772,-0.0173304051737082,4.1367030297914,3.17685723345277,0.918069358936836,1.30213690002538,39.9746612464706,24.0719786864888,0.866904137537333,0.970734256597858,3.80732012218095,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0014","1","PA3_t400_6_2023jan12_0004_2",NA,5400,2,NA,NA,NA,85,1.41666666666667,1.5,400,"PA3_t400_6_2023jan12_63"
"28","Track_106: ID10703 → ID10901",106,1,2,5100,0.824442284557108,0.316952595066282,10703,10901,48.9851704175798,10901,10901,2382,104.180764568789,77.2296688826495,0,25500,85,4.0369211756591,1,NA,11355.8765743073,11490,7506,13684,27049698,1015.52147878906,-0.95763641634649,-505.556277572774,0.0042810027502403,0.0180098350945812,4.83057583764936,3.4199287294612,0.854952202737021,1.41247851045434,51.1976953460854,26.8244442764502,0.89412617527033,0.984889256882633,3.74891442926415,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0006","3","PA3_t400_6_2023jan12_0006_2",NA,5700,3,NA,NA,NA,85,1.41666666666667,1.58333333333333,400,"PA3_t400_6_2023jan12_106"
"29","Track_63: ID10726 → ID10963",63,1,2,5700,1.65480689920237,0.312288739317813,10726,10963,98.2363415691946,10963,10963,2012,111.246162005674,118.726666855939,0,25500,85,3.70604114817354,1,NA,12043.9101796407,11909,9872,15140,24135996,1038.17342906325,-0.960336018581837,-561.764778351187,0.021876692732686,0.0038361555208538,4.94927169030836,2.79217004564527,1.71454699243565,1.77255382351349,43.1489613992859,26.1102538258719,0.795349519742963,0.976857490864799,3.97489737522339,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0008","2","PA3_t400_6_2023jan12_0008_1",NA,5100,3,NA,NA,NA,95,1.58333333333333,1.41666666666667,400,"PA3_t400_6_2023jan12_63"
"30","Track_63: ID14774 → ID11019",63,1,2,5700,6.40758350472341,0.446612867134768,14774,11019,98.0478853894064,11019,11019,2397,109.684299899295,128.936239348416,0,25500,85,4.05638856753289,1,NA,12406.00625,12343,9215,15426,29774415,1346.50655073252,-0.959261390459529,-433.894638370178,-0.0114772727417276,0.0695721116278206,5.51593374443379,2.99597603210811,-1.43033371749052,1.84111410949857,51.6926709631346,28.7411203523378,0.786378172403991,0.975431472081219,3.99750676058722,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0011","1","PA3_t400_6_2023jan12_0008_1",9.36371918226649,5100,4,NA,NA,NA,95,1.58333333333333,1.41666666666667,400,"PA3_t400_6_2023jan12_63"
