LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,minutes,FIRST,LAST,d1_id,d1_minutes,d2_id,d2_minutes,diff_minutes,mother_id,mother_minutes,daughter_id,daughter_minutes,date,strain,timepoint,strain_timepoint,complete_id,id_file
Track_522: ID2204 → ID2159,522,0,2,30.0,2204,2159,2011,80,14488,75,5,2011,80,14488,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_15: ID2259 → ID2230,15,0,2,10.0,2259,2230,18317,65,2399,70,5,2399,70,18317,65,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_168: ID2366 → ID2489,168,0,2,90.0,2366,2489,3079,90,11387,105,15,3079,90,11387,105,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_158: ID2387 → ID2310,158,0,2,85.0,2387,2310,2173,100,11338,100,0,2173,100,11338,100,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_265: ID2395 → ID2218,265,0,2,75.0,2395,2218,12355,115,2223,110,5,2223,110,12355,115,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_126: ID10905 → ID3087,126,1,2,90.0,10905,3087,10941,110,3075,110,0,3075,110,10941,110,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_126: ID10941 → ID4611,126,1,2,110.0,10941,4611,3932,90,10955,95,5,3932,90,10955,95,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_126: ID10948 → ID4612,126,1,2,85.0,10948,4612,4723,85,11271,90,5,4723,85,11271,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_126: ID10955 → ID5667,126,1,2,95.0,10955,5667,10977,80,4813,80,0,4813,80,10977,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_126: ID11004 → ID6866,126,1,2,105.0,11004,6866,7262,60,11039,90,30,7262,60,11039,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_158: ID11338 → ID11373,158,1,2,100.0,11338,11373,11353,90,11362,85,5,11362,85,11353,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_158: ID11353 → ID3937,158,1,2,90.0,11353,3937,3760,80,11852,85,5,3760,80,11852,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_168: ID11387 → ID3287,168,1,2,105.0,11387,3287,11424,90,3324,95,5,3324,95,11424,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_168: ID11398 → ID4237,168,1,2,85.0,11398,4237,3783,75,11435,80,5,3783,75,11435,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_158: ID11413 → ID3621,158,1,2,80.0,11413,3621,11555,80,3897,75,5,3897,75,11555,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_158: ID11555 → ID4951,158,1,2,80.0,11555,4951,11569,80,5106,75,5,5106,75,11569,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_168: ID11614 → ID5656,168,1,2,80.0,11614,5656,5600,95,11628,95,0,5600,95,11628,95,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_168: ID11628 → ID6573,168,1,2,95.0,11628,6573,6524,90,11681,95,5,6524,90,11681,95,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_168: ID11681 → ID8003,168,1,2,95.0,11681,8003,7821,110,11708,110,0,7821,110,11708,110,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_265: ID12355 → ID3378,265,1,2,115.0,12355,3378,3234,75,12461,75,0,3234,75,12461,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_265: ID12461 → ID3641,265,1,2,75.0,12461,3641,4021,65,19395,75,10,4021,65,19395,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_281: ID12640 → ID2798,281,1,2,90.0,12640,2798,12693,80,2597,75,5,2597,75,12693,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_281: ID12693 → ID3511,281,1,2,80.0,12693,3511,3496,85,12743,90,5,3496,85,12743,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_281: ID12743 → ID12802,281,1,2,90.0,12743,12802,12792,80,12782,80,0,12792,80,12782,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_627: ID12770 → ID6361,627,1,2,75.0,12770,6361,5414,75,18126,70,5,5414,75,18126,70,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_312: ID13027 → ID2893,312,1,2,90.0,13027,2893,2722,90,13046,90,0,2722,90,13046,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_312: ID13046 → ID3551,312,1,2,90.0,13046,3551,13070,85,3431,85,0,3431,85,13070,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
